IATI-code,Funder-code,abbreviation,name,notes
47112,XM,CEI-Climate Fund,Central European Initiative - Special Fund for Climate and Environmental Protection,
47113,XM,CEMAC,Economic and Monetary Community of Central Africa,
47116,XM,IF,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries,
47117,XM,NEPAD,New Partnership for Africa's Development,
47118,XM,CREFIAF,Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries,
47119,XM,OSS,Sahara and Sahel Observatory,
47120,XM,SAARC,South Asian Association for Regional Cooperation,
47121,XM,UCLGA,United Cities and Local Governments of Africa,
47122,GAVI,GAVI,Global Alliance for Vaccines and Immunization,
47123,XM,GICHD,Geneva International Centre for Humanitarian Demining,
47125,XM,ETC,European Bank for Reconstruction and Development - Early Transition Countries Initiative,
47126,XM,,European Bank for Reconstruction and Development - Western Balkans Trust Fund,
47127,XM,OLADE,Latin-American Energy Organisation,
21001,INGO,AGID,Association of Geoscientists for International Development,
21002,INGO,AITIC,Agency for International Trade Information and Co-operation,
21003,INGO,CLASCO,Latin American Council for Social Sciences,
21004,INGO,CODESRIA,Council for the Development of Economic and Social Research in Africa,
21005,INGO,CUTS,Consumer Unity and Trust Society International,
21006,INGO,,Development Gateway Foundation,
21007,INGO,ELCI,Environmental Liaison Centre International,
21008,INGO,Eurostep,Eurostep,
21009,INGO,FARA,Forum for Agricultural Research in Africa,
21010,INGO,FAWE,Forum for African Women Educationalists,
21011,INGO,GCE,Global Campaign for Education,
21013,INGO,HAI,Health Action International,
21014,INGO,HURIDOCS,Human Rights Information and Documentation Systems,
21015,INGO,ICRA,International Catholic Rural Association,
21016,INGO,ICRC,International Committee of the Red Cross,
21017,INGO,ICTSD,International Centre for Trade and Sustainable Development,
21018,INGO,IFRCRCS,International Federation of Red Cross and Red Crescent Societies,
21019,INGO,IFS,International Federation of Settlements and Neighbourhood Centres,
21020,INGO,,International HIV/AIDS Alliance,
21021,INGO,IIED,International Institute for Environment and Development,
21022,INGO,INAFI,International Network for Alternative Financial Institutions,
21023,INGO,IPPF,International Planned Parenthood Federation,
21024,INGO,IPS,"Inter Press Service, International Association ",
21025,INGO,ISC,International Seismological Centre,
21026,INGO,ISHR,International Service for Human Rights,
21027,INGO,ITF,International Trust Fund for Demining and Mine Victims Assistance,
21028,INGO,IUEF,International University Exchange Fund - IUEF Stip. in Africa and Latin America,
21029,INGO,MSF,Doctors Without Borders,
21030,INGO,PAID,Pan African Institute for Development,
21031,INGO,PANOS,PANOS Institute,
21032,INGO,PSI,Population Services International,
21033,INGO,TI,Transparency International,
21034,INGO,UNION,International Union Against Tuberculosis and Lung Disease,
21035,INGO,OMCT,World Organisation Against Torture,
21036,INGO,WUS,World University Service,
21037,INGO,WWB,Women's World Banking,
21038,INGO,,International Alert,
21039,INGO,IISD,International Institute for Sustainable Development,
21040,INGO,IWTC,International Women's Tribune Centre,
