donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,566,576,613,701,732,742,764,765,801,807,811,812,820,901,903,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,953,958,959,963,964,966,967,971,974,976,978,988,990,1011,1013,1311,1312,1313,1601
donor_name,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund [NDF],Canada,United States,Israel,Kuwait [KFAED],Saudi Arabia,United Arab Emirates,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Timor Leste,Australia,United Nations Environment Programme [UNEP],Global Environment Facility [GEF],Montreal Protocol,New Zealand,International Bank for Reconstruction and Development [IBRD],International Finance Corporation [IFC],International Development Association [IDA],Caribbean Development Bank [CarDB],Inter-American Development Bank [IDB],IDB Special Fund,African Development Bank [AfDB],African Development Fund [AfDF],Asian Development Bank [AsDB],AsDB Special Funds,EU Institutions,Arab Fund [AFESD],UN Peacebuilding Fund [UNPBF],World Health Organisation [WHO],International Labour Organisation [ILO],International Atomic Energy Agency [IAEA],UNECE,OPEC Fund for International Development [OFID],Arab Bank for Economic Development in Africa [BADEA],IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank [IsDB],OSCE,IFAD,European Bank for Reconstruction and Development [EBRD],Climate Investment Funds [CIF],Council of Europe Development Bank [CEB],Global Alliance for Vaccines and Immunization [GAVI],Global Fund,Global Green Growth Institute [GGGI],Bill & Melinda Gates Foundation
Armenia,13.76526127,0.2286373,0.7690916,20.62946683,25.43366012,0.31020276,0.06876759,0.562107,,1.2108365,6.480644927,1.8149078,0.2368868,,,,,0.296273836,,0.17001502,,,,0.29235603,0.06028841,,,0.07217182,0.346994855,0.21324353,0.03882421,0.014941,0.011585088,37.3725,,0.0379254,26.807976,0.011102,,,1.3352748,,3.96953291,,0.155009,,,,,3.8408964,,,101.703838,,15.28089436,,,,,,11.78086,88.71834,148.9605478,,,0.37174952,0.17915,0.137604,,37.8759,,,0.48066803,1.13921819,,,,,0.46892703,,2.908164,2.86171,88.688187,,,0.37462,2.82132,,
"Asia, regional",15.4899132,7.53527316,14.2384731,28.68212315,594.5784417,3.21320345,4.6772099,43.21592571,,35.01131514,10.05852345,100.2041207,33.04531183,,0.0406434,0.1293818,,,,0.49712157,169.31,,,,,,,0.0196071,,,0.0399334,,0.0890417,,,253.3629419,51.827717,,,41.9739,61.9133,1.202879,28.69588844,,497.161664,,,27.33081046,,,,0.7788442,,,,,,,,,61.81972,55.07326,56.40976634,,,,10.79593,6.9519,,0.375,,,2.24536,,,,0.186609,3.968824,11.24086681,,,,,0.70943,,,,,24.1811082
Azerbaijan,0.720416306,0.08,0.0469637,2.17011042,17.40242449,0.0185691,0.0426889,1.0172903,0.00342651,1.114001244,1.7512864,3.74428336,0.0670206,,,0.00437981,,0.00326567,,0.011871184,8.76,,,0.04098443,0.01231281,,,0.20654426,0.13309055,0.0726024583,0.0244038,0.044424,0.015006685,0.007493,,0.1323946,13.496022,0.314321,,,,,39.68761846,,22.659194,,,,,3.3249087,,,304.3875933,,16.88007032,,,,,,346.63364,2.5713,27.46861331,,,0.3611996,0.07905,0.376351,,,,,0.60799148,0.93093356,,,,,0.59125257,87.5874,0.858015,1.29154,174.149865,,,3.57396,3.5925,,
Bangladesh,0.83120069,1.3763526,21.27310405,35.05701834,82.82550145,0.66828715,46.60224854,4.26259983,0.0018325,37.3048448,37.8847772,254.7456863,0.784350425,,1.30650133,1.93140457,,0.02261569,,0.111027496,2.41,,,0.022029,,,,0.00511475,0.00954857,0.0133507,,,,,0.469196,49.15306623,230.031952,,6.978892,,3.7141042,,465.3645001,,57.734298,0.107401,,49.01752293,,4.674353,,0.3600613,,,890.1436326,,,,,,375.1843,353.05324,79.45160778,,,5.40736954,1.76325,0.818669,,29.33985,,255.821,11.22161852,25.39613819,,3.100735,,0.500462,7.04366717,133.30876,,36.70627,,0.1553,,86.34967,40.68207,,31.17529697
Belarus,1.19498484,0.00221852,2.629237666,1.86768992,11.95215943,0.31746751,,1.5299678,0.00831947,9.496053238,0.5891658,1.34074039,0.330569681,0.175138,,,,0.360855512,,0.02763775,0.05,0.0221852,,0.77359105,0.24488118,,,0.05056082,18.77186001,0.01125908,0.26622305,0.06632,1.169599146,2.97228,,0.1019791,14.259628,1.55961,,,0.0245031,,0.162782,,0.367839,,,,,3.3582897,,,72.8609219,,,,,,,,,,25.29313268,,,0.22005321,0.0147,0.638813,0.0093,,,,0.45695796,0.7876024,,,,0.112388,0.27095434,,,,22.388355,,,,5.65362,,
Belize,0.02498195,,,0.000643372,0.0164535,,,,,,,1.74956004,,,,,,,,0,,,,,,,,,,,,,,,,0.21714012,1.830501,0.032066,0.7122167,,,,1.88177563,,0.213637,,,0.18036659,,1.8734533,,,2.9483409,,,19.939237,9.50861,0.39367,,,,,11.4680867,,,,0.07321,0.15239,,4.296274,,,0.10745543,1.34844472,,,,,,,,0.180277,,,,,2.83972,,0.0684
Benin,0.034272739,19.78653098,0,32.55288827,38.38007624,2.368916837,17.75324002,0.0189725,,0.65343506,26.00742986,,0.0663339,,0.0332402,1.0423944,,,,0.20925625,0.3,,,0.0118873,0.00615641,,,0.00042623,0.005949318,0.00295448,,,,0.085765,,6.63068945,35.726416,0.006222,6.64012,,1.1951143,,12.9028367,,0.124949,,,0.02910058,,4.443271,,,,,110.4370405,,,,0.00279,34.15067,,,48.92224893,,,1.40531039,0.32695,0.353478,,2.7089118,7.10291096,,3.7810377,5.30517716,,1.496697,0.480592,0.482244,1.83240576,12.73442,,4.43626,,,,5.10793,20.25378,,1.2289947
Bhutan,2.77520388,,0.0216091,0.01631056,0.8008344,0.04962949,,3.5711628,,0.0563506,4.16370672,0.115624,0.3576207,,,,,,,0.000893739,0.08,,,,,,,,,,,,,,,1.450047305,1.001004,,0.0291726,,,,16.00298965,,0.723863,0.842326,,7.122200005,,3.788173,,,,,23.07106,,,,,,0.0385,31.02364,1.844537,,,1.17698505,,,,,,,0.68621117,1.35393695,,0.198385,,,0.93648744,,,1.7686,,,,0.33088,2.41399,,1.1517156
Bolivia,0.13157095,14.36930679,24.04411634,10.71797197,31.79689741,6.469444165,1.767508611,3.59504473,,23.13863613,42.40375374,1.26173408,0.86453579,,0.2768595,1.3626249,,0,,11.62514384,,,,0.03436912,,,,,0.0598253,,,,,,4.43705,12.67732547,2.240141,,,,0.0120439,,10.74655197,,21.668321,,,0.203628919,,2.8697023,,0.0416872,100,,169.8181627,,19.6579,337.15163,,,,,51.2922573,,,,0.96123,0.135696,,24.4746,,,0.85095296,1.99336116,,0.574921,,0.036531,1.14587034,,,5.353509,,0.81696,,6.64628,7.61947,,0.445623
Bosnia and Herzegovina,20.21822047,0.12079525,2.072592,2.08754407,53.96638911,1.54669191,3.2914134,8.16885669,0,18.10924704,25.50936435,6.827064666,0.462128971,,,,,0.096786248,,0.031394295,25.96,3.664799273,,3.71561253,0.1735219,,0.12,0.43890664,0.00515225,0.00641532,,,0.0027720458,,,0.8944214,33.547551,,3.79228,,,,12.08866894,,0.201736,,,0.0113006,,2.9239377,,,81.3222737,,29.3604645,,,,,,,,227.9142753,,1.530612,0.30123315,0.29594,0.371126,,14.72339,,,0.41054256,1.09687142,,,3.38634,,0.51961492,,11.38636,1.16291,102.41141,,23.6705604,,4.8077,,
