,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,566,576,611,613,701,732,742,801,811,820,901,903,905,906,909,913,914,915,918,921,923,928,932,940,944,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1609,1610,1611,1612,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1630,1631,1632,1633,1634,1635
recipient_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Finance Corporation,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,David & Lucile Packard Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",Rockefeller Foundation,William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust,World Diabetes Foundation,McKnight Foundation,Citi Foundation,LEGO Foundation,Norwegian Postcode Lottery,BBVA Microfinance Foundation
Bosnia and Herzegovina,64,22.17500452,0.05081786,0.0719094,2.273147913,38.27049099,3.128374466,0.5584882,5.44989736,0,21.31057678,23.51894377,3.3728781,0.000814352,,0.0354066,0.0670503,,0.01238257,,0.06482058,17.95198,4.582806144,12.369354,6.371164978,0.37662,,0.15,0.54817647,0.01923463,0.03857844,0.00236044,,0.00143751,,,0.1396701,49.68955,0.0490834,35.1412,4.148089,0.08476,,,44.41766316,,0.10271,0.02973909,2.2268968,,136.4343298,,25.063311,,,,,,165.9966295,,0.919728,0.94388799,0.1279385,0.211457007,0.650704,13.99932,,0.35042817,0.8520792,,,2.62598,,0.66961,,12.491692,5.587426,122.597679,,,17.3468613,,,,,,,0.0678627,,,,,,,,,,2.36044,,,2.39008,,,,,,,,,,,,,0.025,,,,,,,,,
Botswana,227,0.0101099,,0.425754,0.14452982,0.66946529,0.11974912,,,0.0354066,0.14331895,,1.52405613,0.1150833,,,,,,0.00529092,,,,,,,,,,,,,,,,,0.243878368,54.66386,0.357992,,,,,,12.76798796,,0.15658,1.007691631,3.2564224,0.1336963,31.091676,,,,,5.41456,0,,2.1360475,,,1.06114116,0.4234566,0.245291228,0.599031,,,0.150576,1.178146,,,1.28497,0.0996202,0.57341,,,0.232736,,,,,,,,,,,,,11.74769,,1.0785982,0.708132,,,,0.05,,,3.54066,1,,,,,,,,,,,,,0.108875,,0.0249,0.399954,,,,,,
Brazil,431,2.44717706,1.2676611,0.640185,116.9403009,228.9397136,13.12107547,0.29179647,84.3052529,3.852318308,1.3827555,4.11000303,33.44207293,0.48298464,,0.4185113,1.44873519,,0.000382391,0.00204305,5.115208903,0.13031,,,0.05730279,,,,1.538848353,0.06950213,0.0128358,,,0.00585861,0.376923,,1.130227098,59.32401,2.69186,,0.0266667,0.30353,,,67.72629341,,513.169373,0.24418137,13.5360298,0.3179312,576.9981605,,,,2049.838044,,,,87.37391254,,,2.5932011,0.02643,1.835565436,0.825477,,,0.15,0.9855522,,,2.0291,0.3797931,1.60775,,,41.2886,,8.566436,,,,,,1.50254,,,,,,,3.7748626,2.36044,,,0.577325,,,2.84239505,,9.798771,,0.20237295,4.277115,,0.08,0.0333333,0.0916667,,,0.704169,,3.2,0,12.447491,17.873081,3.4457503,0.354066,,0.7,,,
Burkina Faso,287,6.054009827,15.6055675,48.9343675,106.3833375,54.392116,14.09107459,,2.9714302,0.00201345,31.16427279,36.41461752,2.434144,0.713487536,,0.5374677,24.27035235,,,0.00110941,3.292833084,0.28685,,,0.02689224,,,,0.00423264,,0.0103752,,,,1,,43.93939937,65.16009,0.191875,,6.8833033,0.74343,,,15.81629525,,0.897547,0.081590128,3.43121146,,,,407.5617465,,,22.99460388,42.036251,,196.7787937,,1.769692,2.16378612,1.13152,0.377349355,0.554534,153.430553,25.5693,3.89463268,17.8263838,,7.87716,0.153301,0.1286505,2.21977,48.7390936,,12.38903,,3.840364,,,,,,9.01503,,,,27.0452,48.53136902,0.14046,19.86621666,,,,,1.086709,2.94895,,,,,0.05574117,,,1.03213,,,,,,1.25,0.95,0.00909091,,0.04,,,0.3363333,,,,
Burundi,228,0.037801896,41.50846162,1.57683,6.90822161,33.34492558,1.573468708,37.05711811,4.51155768,,6.5134342,8.93904147,5.36894,0.740611,,1.8062016,0.79520132,,,0.000460286,1.22366593,,,,,0.00528,,,,0.00443041,,,,,,,5.065180957,50.03243,0.0510587,,4.2345997,,,,9.857944763,,0.546952,0.42482755,1.76444,,,,85.34079827,,,,7.11523048,,48.96962994,,5.96541103,1.40945615,0.44923,0.1120534,0.153207,6.67137,,10.5649166,11.3809154,,2.1257563,6.37155,0.0739048,1.62547,,,20.81129,,,,,,,,7.34987,,,,33.70963,8.531352,,1.58772074,,,,,0.249445,,,,,,0.0142914,,,,,,,,,,,0.05,,,,,,,,,
Cabo Verde,230,0.00626106,0,0.563079,5.28787529,0.08237714,0.89372314,,,21.28467283,,0.0143164,0.5156624,,,,14.73312108,,0.00521185,0.000407176,1.78791793,0.00417,0.06892484,,0.07245161,,,,0.03094153,0.01683557,,,,,,,0.19418211,4.00705,0.0297556,13.48542,0.0827,,,,13.82268107,,0.154065,0.02008696,1.0835982,,0.6890262,,7.5571466,,,40.456653,2.41582,,13.23900603,,,1.02610818,0.55474,0.433730098,,,,0.49313632,0.9647248,,,,,0.522,,,2.56714,,,,,,,,,,,,,1.4684944,,,,,,,,,,1.064164,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,728,0.06547215,4.22085333,5.818232804,95.37461521,53.66002644,0.49822309,,22.26854805,,24.9719241,16.69540836,5.98802655,1.93878765,,0.7094313,0.401461703,,,0.0142547,0.1759199,0.01855,,,1.38559555,0.0576,,,0.189433,0.00368161,,,,,0.376923,0.091467,2.770887316,112.86654,0.179772,,0.293333,0.31859,,,169.0660634,,81.225074,54.58827147,4.3231621,5.8981142,,,23.5959851,,,,,103.3883272,89.78293327,,,1.72878754,0.4236938,0.878857658,0.508544,23.896571,,2.90808711,5.166148,,0.6035993,,0.1499984,1.61976,,,10.63606,,15.475543,0.553654,,,,,,,,,7.44031,17.878832,1.0842,2.7507887,,,,,,1.14863,,,0.075,0.782474,0.183407,,,,,0.12,,,,,,0.221372,,0.0663605,,,0.0583334,,,,
Cameroon,229,0.52743398,2.66460455,1.1381,366.7873452,113.5335617,4.393223557,,2.67686076,0.0402667,8.829763503,4.635785714,16.64763835,0.10712737,,1.0592402,0.4190084,,,0.000488611,5.32202745,0.35076,,,0.00890241,,,,,0.05202986,0.09951293,,,,,,14.17013421,113.56035,0.667889,4.25926,3.3929463,0.26801,,,22.25901277,,13.064483,0.359210809,2.4741974,0.0478393,38.185869,,137.14729,,,463.7843866,52.43886,,74.69141406,,1.03424909,1.82920557,0.3863858,1.022428421,0.25727,27.22275,156.304,1.21697072,13.4114902,,1.10760271,1.68988,0.1798469,2.70496,83.3604,,6.88721,,,,,,,,14.9815,,,,18.0232,61.16679,,4.14288914,,,,,1.73472,,,,,,0.0281835,,,,0.015,,,,,,,0.3226998,,,,,,,,,
"Caribbean & Central America, regional",389,50.4940378,1.18273859,2.1680011,0.558701626,91.62888737,2.44334389,6.246726,1.599177,0.0135312,6.0033223,6.625529393,33.4302596,0.1444588,,0.4011514,2.1250314,,,,5.570425038,1.29513,,,,,,,,,0.0831384,,,,,,3.105105517,187.45844,,,,0.40634,,,,,,,,,,,,,,,,,29.2386624,,,0.42988987,,1.474828529,,,,,,,,1.09814,,3.61721,,,,,,,,,,,,,,,,,,1.5873019,,,,,,,,,0.266667,,,,,0.4,0.5965707,0.02,,,,,,0.4193754,,1.070666,,,,,,,
"Caribbean, regional",1031,,,,,,0.0237224,,,,,,147.4294603,,,,,,,,,,,,,,,,,,,,,,,,39.84796487,64.75876,,,,,,,,,,0.233490098,,1.17849716,,,0.296,9.33697,,,,,23.2857069,,,,,,,,,,,,,,,,,,,,0.775211,,,,,,,,,,,1.26407,,,,,,,,,,,,,,,,,0.75,,,,,,,,,0.015,0.2059709,0.224972,,,,,
Central African Republic,231,0.0402138,3.4725019,2.71034,42.10974876,49.45419461,8.19729575,5.974148,8.540805,0.8175793,24.13573839,11.38381921,34.9332083,0.794164727,,7.1888532,1.401060148,,,,1.5252811,0.00118,,,0.2499854,,,,,0.156101057,,,,,,,15.3401886,56.86893,,,5.2888,,,,6.43663569,,1.22408,3.133861849,0.4798038,,,,98.040742,,,,15.8046366,,127.6243917,,8.86381678,2.62600033,0.91313,1.413070591,0.27973,,64.6737,7.32637224,8.3142423,,13.54768538,,0.1351265,1.28801,,,0.131088,,,,,,,,9.93216,,,,1.54587,25.157534,,0.61638674,,,,,,,,,,,,,,,,,,,,,,0.03994,,,,,,,,,
"Central Asia, regional",619,1.315839,,0.920984,0.543340912,48.06022262,0.59748637,,1.581698,,0.581101,7.650969885,4.3920631,0.25784464,,,,,,,,17.95665,,,,,,0.09,,,,,0.0524472,0.00194854,,,,38.18542,,,,,0.352211,1.18787642,0.572304374,,1.170903,,,,,,1.753954,,,,,,32.21400553,,,,,0.86028986,,,,,,,,1.7999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405991,,,,,,,,,,,,,,,,,,,,,,
Chad,232,0.60391403,4.4842236,0.541916,102.9763648,39.26105604,4.103986888,1.20996,,,9.22049241,31.37475824,0.0201028,,,1.5227632,0.48351229,,,,0.95797121,0.67222,,,0.230099,,,,0.00408092,,0.0047944,,,,1,,14.63648715,93.52938,0.0179254,4.81421,0.8634707,2.60981,,,5.582472896,,1.463228,1.49399E-07,0.1584579,,,,125.0129554,,,,28.3942521,,169.4126222,,0.78027258,2.16392298,0.37443,0.178950199,0.129235,1.44727,148.871,2.99309764,15.7722227,,,14.0348,0.1108214,2.73104,24.92229,,5.976503,,,,,,,,16.98236,,,,3.40848,31.00731,,3.15032674,,,,,,,,,,0.104609,,,,,,,,,,,,,,,,,,,,,
China (People's Republic of),730,7.095074341,0.4830033,12.1750207,159.1255263,806.287877,15.63126213,2.6214779,11.7021355,1.255754365,3.406525411,6.38612159,91.2693717,0.569458537,,0.0348165,0.122783,,0.020148925,,9.729608325,0.47,0.001534285,,0.02703821,,,,4.118363581,0.2525341,0.0951219,,0.0677764,0.073374237,,,2.05460004,31.42985,17.3476,90.1686,8.578994,0.09548,,,5.101849582,,3136.282653,13.60809729,32.0692784,0.367224,1736.064074,,,,,,,1919.215752,209.7667458,,,2.1955617,0.5353129,1.657945526,0.976167,21.7894,,0.77140288,6.989086,,,2.94983,0.4546009,1.63302,,,56.052558,,,,,,,,,,,,,,,19.947075,,,,1.133284,,,,4.13232,1.001833,,,18.7430304,,,9.616777,1.9,,,,0.2,21.214333,0.4451645,2.57475,9.155534,9.685005,,,,0.310757,,
Colombia,437,1.635438846,1.96485584,1.9728024,508.5323313,558.0372421,5.34760665,9.76514258,50.63600854,0.581438885,32.96129091,40.98067886,46.93822447,0.53309398,0.179488,2.5533363,1.279061771,,,0.000407176,66.94978686,0.61454,,,0.1707436,,,,0.3564694,0.2912989,0.0225971,,,0.0141626,,,35.40370134,340.80446,0.981503,,0.0266667,1.9527,,,9.382939485,,64.673667,0.075435352,7.8033133,0.810558,1426.816576,,,,944.7160879,,,,84.26797791,,9.9437198,1.02724425,0.3033467,1.557821002,0.376188,0.025786,,0.3088049,1.5292028,,4.361875,9.67401,0.0199041,0.99452,,,1.73958,,5.986202,1.1448,,,,,5.92949,,,,,1.86398,,0.62196512,1.85176,,,0.096145,,,0.0490724,,,0.230139,0.3877193,,,,,0.5275,,,1.178038,,,0.04,0.524066,5.91538,0.160064,1.2,,0.515,0.0676425,,352.8745023
Comoros,233,,,,19.80604407,0.014023,,,,0.0523463,,,0.175541,,,,,,,,0.02615187,0.39718,,,,,,,,,,,,,,,0.185324,1.25844,,,17.496075,4.40937,,,4.989427353,,0.206221,0.112727797,4.22069307,,,,9.46062664,,,,7.85828939,,12.00246779,0.6757209,0.00542433,1.01457502,0.405,0.461409979,,,,1.89376123,1.2445034,,,,,0.704,,,1.566477,,,,,,,,,,,,1.22136,4.8626105,,0.0021007,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Congo,234,0.02258024,0.02287028,,57.67989944,0.61435222,0.61186859,0.218356,0.4969144,0.025966048,0.00460278,0.18270686,2.3908842,,,0.0312277,,,,0.0295055,0.713861982,0.15833,,,0.0107891,,,,,0.0398737,0.01357144,,,,2,,0.206023918,9.77428,,,0.306667,0.4811,,,2.778533691,,,,1.585812,,15.705505,,29.55033401,,,32.782519,2.5167323,,22.93769932,,0.794184,1.46667825,0.7236558,0.241887624,0.013517,,,0.48389012,1.3767982,,,5.57387,0.109562,0.98961,,,0.21802,,,,,,,,3.97688,,,,1.25548,7.03129931,,2.6086067,,,,,,,,,,,0.0414636,,,,,1,,,,,,0.03994,,0.0322,,,,,,,
Cook Islands,831,,,,0,0.0124576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.110585942,,0.159334,2.105521016,1.3287028,26.668785,,,,,,,,2.55815,1.1237192,,,0.15618965,0.023,0.051487954,,,,0.0499071,,,,,,,,,,,,1.341455,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166667,,,,,,,,,,,,,,,,
Costa Rica,336,0.1147257,0.0465868,0.0532193,24.65402274,11.65622229,0.05803728,0.8524708,,0.00026909,0.07840631,0.2362966,0.8607579,0.00141102,,,0.4070572,,,,0.625034652,,,,0.010596,,,,,,,,,,,,1.09129456,10.53259,0.330733,,,0.005,,,48.73832882,,1.04093,0.11687552,4.54021286,0.197265,150.65,,,,262.1419012,,,,29.6120449,,,0.10179706,0.0687904,0.884396036,0.342343,,,0.2395069,1.4572641,,,0.314341,,0.40415,,,,,,2.38575,,,,,,,,,,1.29273,,0.311119,,,,,4.95601,,,,,,,,,,0.0166667,,,,,,,0.014,,0.088,,,,0.08,,,
Côte d'Ivoire,247,0.0226114,0.09161226,0.150822,408.5906734,15.61467281,4.894001595,0.00809699,0.3770189,0.049046328,1.006282471,0.88732026,3.54046979,0.17300698,,0.017754,0.07870563,,,0.000407176,7.85387821,0.00331,,,,,,,,,0.0163644,,,,,,15.76248149,184.88589,0.219886,24.3557,1.82302964,,,,24.63998848,,6.760768,0.0703976,0.1406088,,17.198218,,241.7410263,,,79.4536062,29.6912157,,103.4592576,,11.10342189,1.7073321,0.3974587,1.165121378,0.412787,48.503032,91.3531,0.9937412,13.761233,,1.24994,5.26539,0.416113,2.60853,69.36905,,6.36491,,,,,,,,,,,,25.07748,53.5295,,5.6090027,,,,,2.019086,,,,,0.32877,,,,,,0.588667,,,,0.080168,0.5,0.05082891,,,,1.183287,,,,,
Cuba,338,13.23278646,12.5469792,3.06699,134.2261918,3.58040139,10.51201726,0.25931358,1.4788089,0.3060631,2.34449167,11.77438264,6.20246402,0.01499952,,,0.083633,,,,8.749082945,0.02293,,,0.31606909,0.02164,,,0.0805266,0.00886083,0.082938,,,,358.598,,2.21175979,10.42808,0.0405435,62.1159,31.7788973,4.7192,,,47.4752824,,1.518518,0.02950111,1.77899147,0.0121343,,,,,,,,,12.46670497,,,0.13337193,0.2049758,0.02010581,0.366998,15.147362,,0.37160532,1.3066554,,,,,0.41864,,,5.72145,,,1.0394,,,,,,,,,0.286,6.01654,,,,,,,,,,,,,,,,,,1.275,,,,,,0,,1.967433,,,,,,,
Democratic People's Republic of Korea,740,0.0505496,,0.164885,1.745728959,3.19835446,0.102803,0.029496,1.782463,,4.8375718,7.96028634,0.2654391,0.3792847,,0.413077,,,0.000837956,,,,,,,,,,0.000777141,,0.0416986,,,,59.0927,,1.79528807,3.106,0.0448127,,,,,,,,,,,,,,,,,,,,5.0534306,,,1.61740504,0.90888,,,,,2.596329,4.5144464,,1.324317,,,0.98988,,,,,,,,,,,10.00377,,,,6.61245,3.94385,,0.0021007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,235,0.37718715,128.2825261,2.98527,22.96688467,142.6584624,15.94181936,24.42895936,32.77253186,0.26358068,79.40490145,25.99469676,274.0518065,0.555214431,,8.8927492,4.157128778,,0.0714694,,6.999430445,0.01793,0.0708132,,,,,,1.18836,0.0708866,0.12660768,,,,,,67.32682338,476.12024,0.00503046,,0.12,0.0097,,,43.26548889,,19.25708,4.026933888,2.541963,,,,483.8588215,,,76.6953607,94.4788724,,217.9322141,,5.36457123,2.74138158,0.1972209,0.692282067,0.410104,6.536039,,13.10022867,66.8799913,,17.7693,0.406523,0.5068798,5.89192,,,7.93113,,11.847705,,,,,,58.35107,,,,70.13124,145.341377,,33.63822564,,,,,0.589672,0.82396,,,0.75,0.0863021,0.5870242,,,,4.6755,1,,,,,,0.821398,,0.0322,2.8556852,,,,,,
Djibouti,274,0.0104449,,0.0121961,47.88491111,0.3573099,0.628362405,,,,1.373215,,0.067146,0.00849758,0.0577226,,,,,,0,14.67736,,,,,,,,,,,,,,,1.24232876,9.6167,0.0267556,0.0670612,18.3342223,0.03803,,,9.378440686,,,6.42414E-07,1.86912708,,,,17.2834823,,,0,2.2082364,,32.48170259,24.88575,,1.0545447,0.33354,0.06427441,0.030208,18.43838,,0.5228562,1.1015876,,1.5140807,,0.0234961,0.51492,1.376397,,2.53139,,,0.394608,,,,,1.19679,,,,1.12629,2.674018,,0.15902874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,378,,,,0.34614232,0.04338087,,,,,,,0.527364327,,,,,,,,,,,,,,,,,,,,,,,,4.445469672,4.76395,0.0254622,,,0.011,,,2.330582097,,0.10233,0.739477791,0.3815205,0.0175254,,,4.575,6.66877,,,,,16.07066803,,,,0.2008311,0.011888571,,,,0.0986103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166667,,,,0.224972,,,,,
Dominican Republic,340,0.0487789,0.42996125,0.0622238,14.05517267,7.18582563,0.101149473,,,0.00201345,0.010609418,0.02623066,0.596541179,0.06519522,,,,,,0.000325741,7.271964072,,,,,,,,,0.00886083,,,,,,,1.0713375,58.98285,0.139446,,,,,,5.272865602,,4.680732,0.06099041,0.8026141,0.0353711,52.072493,,,,348.282243,,,,29.02944938,,,1.0298911,0.25737,0.697689844,0.011301,21.7864,,0.38265884,0.9781849,,0.1,1.85669,0.2298061,0.60898,,,1.51881,,,,,,,,,,,,,7.73071,,,,,,,,,,,,,0.0121035,,,,0.0166667,,,,,,,0.181137,,,,,,0.075,,,143.9269622
Ecuador,440,0.32635533,9.01922124,0.15649,164.6733889,50.40641695,3.71236138,,9.8970459,,0.118039935,2.385432,0.54310277,0.00575475,,,0.0706931,,,0.000814351,14.17856944,0.01843,,,0.0204183,,,,1.02076,0.00443041,,,,,,,1.294172902,18.44815,0.298618,,,0.24356,,,7.109335688,,24.486631,0.09875899,5.0650393,0.13242995,235.783638,,,,527.35609,,,,179.8724606,,,0.7945706,0.3252758,0.529671755,0.398704,,,0.35484692,1.2399431,,2.1741801,6.66282,0.008014,0.87294,,,0.80061,,,0.693784,,,,,1.49992,,,,,1.391246,,0.401437,,,,,,,0.729721,,,,,,,,0.8643334,0.9025,,,,,,0.15,1.249627,0.08175,,,0.063,0.13,,,
Egypt,142,20.06578422,0.28708887,4.565518583,187.1851329,504.4297341,12.48423511,6.49943104,4.3241882,0.140083752,3.05035427,12.18428459,117.9680901,18.30128607,,0.0425088,0.0702781,,0.386532778,,3.610141465,0.33017,0.1593296,,0.0722066,0.00826,,,1.600470741,0.05299084,0.126234783,,,0.00925056,,,4.269506217,158.52635,0.213217,640.7604478,615.9046421,47.17874,,,294.5777608,,77.895553,0.178070016,10.1692244,0.16130649,1915.818685,,,,,569.6273448,0,,1270.486705,142.9181832,,1.32820382,0.24702,1.269794883,0.236426,114.607831,,0.34999983,3.4463338,,1.167397,6.09087,0.1389308,1.15785,206.73123,,23.831688,781.291648,17.7404,,,,,,,,,,,,,0.73716774,,,,0.02,,0,,,,0.575348,,,,,,,,,,0.080168,,,,0.336,0.00811391,,,,,,
El Salvador,342,0.44222233,2.05325966,0.0611388,17.16972665,14.17004626,7.389957666,0.2152913,0.537283,0.0142807,1.72877368,2.51417291,0.44371596,,0.358329,0.1786456,4.9928343,,,0.000203588,42.20995231,,,,0.02668266,,,,,,0.00380508,,,,,,2.922216938,137.50157,0.201719,,,,,,15.72647137,,7.72263,0.071281318,0.9065628,0.07701036,28.109395,,,,395.2698737,,,,41.09676123,,2.1054592,0.2559154,0.61726,0.642525577,0.101444,26.29788,,0.53554495,1.3982318,,3.75338436,,0.0432188,0.803,,,1.602,,,,,,,,,,,,,8.439879,,0.949866,,,,,,,,,0.18,,,,,,,,,,,,,0.014,,0.86185,,,,0.19,,,
Equatorial Guinea,245,0.0101099,,,2.021911991,0.0209392,,,,0.039894942,,,,,,,,,,,2.007775263,0.00043,,,,,,,,,,,,,,,0.185324,1.21974,,,0.0133333,0.005,,,0.172812154,,0.098263,0.01218902,0.66509282,,,,,,,0.3404487,0,,0.5300604,,,0.52918625,0.35314,0.286511139,,,,0.10815119,0.9834165,,,,0.0356225,0.52688,,,,,,,,,,,,,,,,,,0.0302882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,271,0.00989024,,0.000393918,0.497491055,4.35172111,0.513824434,,0.6532437,,0.30106492,1.8101417,3.6724444,0.109666,,1.4579066,,,,0.000814351,1.26670818,0.07528,,,,,,,0.0166876,,0.00287664,,,,,,,0.752,,,0.0933334,10.35071,,,0.436797795,,,0.029787175,0.461079,,,,,,,,1.1872029,,9.257861462,,,1.15636384,0.5099903,0.046304719,0,,,5.11864781,3.4853575,,,2.09684,0.00349,0.93938,,,2.80644,,,0.450196,,,,,4.99429,,,,11.60329,17.09207,,0.00220574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,280,,,0.288522,0.25710812,0.49578834,0.1434038,,0.50221672,0.06892598,0.0878686,1.0226,0.37433569,,,0.0177033,,,,,,,,,,,,,,,,,,,,,0.2040382,59.70239,,13.6,,,,,7.373028091,,0.119041,0.434578877,0.8800659,0.0277355,4.2219319,,,,,26.72693371,0,,13.98912013,,,1.08094737,0.493005,0.328171233,0.034683,7.230326,,0.3385163,1.2941704,,0.1066166,,0.0953832,0.6507,,,1.179452,,,,,,,,,,,,,19.03651,,0.81172,,,,,,,,,,,0.04128381,,,,,,,,,,,,,,,,,,,,
Ethiopia,238,13.48935514,3.8458905,34.09746573,24.91247336,175.1130535,48.83929672,78.8041309,64.39544325,0.04441167,79.95089059,15.74261487,405.1276636,23.95559386,0.820942,44.02395983,1.066710133,,0.06560546,0.00381622,8.072842805,0.6245,,,5.04392944,0.00686,,,0.48808,0.224219,,0.01180222,,,0.42069,,90.60551678,823.39451,1.45541,23.7337,5.4373772,18.66473,,,69.40955445,,84.537252,1.59916643,10.65115089,1.42807735,,,2129.227332,,,7.3542069,178.4608795,,273.2263815,,0.0244923,4.0477521,0.6205,1.615723068,0.327602,15.265697,,9.25801024,38.79529,,,1.2599,0.4091964,4.40291,,,48.06504,,1.21817,,,,,,30.2889,,,,88.05343,131.2203,,103.2371339,,,,,5.4058039,,,,1.153504,0.679958,1.51461784,9.9928508,,1.29146,5.7282062,,,0.05,,1.25,,,,0.0322,0.324277,,0.369,,,,
"Europe, regional",89,18.04360173,0.0228538,2.091090811,7.110127071,220.4925,2.59753269,15.35348,17.0300237,0.0556615,32.2644568,19.07176394,103.8134022,2.6905202,,0.3718031,1.5330843,,0.007887736,,9.911735246,150.73679,0.351619175,,2.79900913,0.0658,,0.25,,13.2728251,0.1613248,1.43632738,,0.58613282,,,40.45530724,93.44092,,,,,,,1.44317024,,,2.342658,14.8453841,,,,,,,,,,502.9353028,,,18.71717108,1.77019,0.01691,5.87001,,,0.78224128,,,,1.23158,0.0058215,,,,,,,,,,,,,0.338251,,,,,,0.99463,,,,0.4,,,,1.93264907,1.510374,,,,,,,,,,1.073,,,0.075736,,,,,,1.485,,,
"Far East Asia, regional",789,1.6148032,1.73652272,0.054808891,,17.05927296,0.826154,1.036979,0.962838,,0.502854,13.70622766,0.0248953,0.116047,,,1.047052,,,,0.00708132,2.42657,,,0.0103793,,,,,,,,,,,,4.079116489,55.90267,,,,,,,6.77246994,,0.072715,5.7901398,,3.5192572,,,1.3784756,,,,,,12.80446339,,,15.68727429,,0.490957256,7.29322,,,,1.5640253,,,2.60998,,,,,,,,,,,,,,,,,,48.15851,,10.023974,,0.690417,,,,,,,3.05,,,5.1491475,,,,0.2083333,,,,0.2,,0.3969273,,0.0713,0.213419,,1.282,2.205,,,
Fiji,832,0.0418554,,,0.27868692,2.68334123,,,,,,,0.33533022,,0.00424795,,,,,,,,,,,,,,,,,,,,,,1.431214,2.2958,0.00475563,,0.04,,,,7.25860437,,7.437189,50.28137124,5.23036253,17.00460197,19.536999,,,,,,,17.35141,11.83986752,,,1.06535134,0.2148094,0.40116843,0.074513,,,0.61645879,8.8412483,,,,0.0581681,,,,0.0455896,,,0.5991264,,,,,,,,,,0.276979,1.43087,,,,,,,,,,,,,0.197461,,,0.5671337,1.136,,,,,,0.0075,,,,,,,,,
Gabon,239,,,,125.1056567,0.68466599,0.24320942,,0.228751,,,0.0143164,0.0201663,,,,,,,,0.09750391,,,,0.0274252,,,,,0.00443041,,,,,,,0.26233716,2.22667,0.00475563,,0.04,0.012,,,4.073611131,,0.054563,,0.147025,,68.4851657,,,,,4.237195,0,,4.48927948,,,1.37623029,0.1128751,0.371323161,0.146657,,,0.14560115,0.8609813,,,,0.0540953,0.49901,13.5224,,,,,,,,,,,,,,,1.52523,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
