,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,566,576,611,613,701,732,742,801,811,820,901,903,905,906,909,913,914,915,918,921,923,928,932,940,944,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1609,1610,1611,1612,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1630,1631,1632,1633,1634,1635
recipient_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Finance Corporation,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,David & Lucile Packard Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",Rockefeller Foundation,William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust,World Diabetes Foundation,McKnight Foundation,Citi Foundation,LEGO Foundation,Norwegian Postcode Lottery,BBVA Microfinance Foundation
Armenia,610,2.97725965,0.269535084,0.773897,23.17587582,100.0848932,0.93383496,0.24408813,0.0323313,0.00247846,1.48872543,2.68091005,1.14954295,0.04762654,,,,,0.06426027,,1.72794763,,0.00296281,,0.58991987,0.02615,,0.02,0.05180935,0.43541611,0.09905626,0.07907478,0.00218522,0.08478105,17.8956,,0.00764621,28.35724,0.279308,,,0.0099,,,2.315300695,,,,1.984679,,52.0681358,,11.252512,,,,,153.8186,62.48659981,,,0.62040535,0.34516,0.463606786,1.11487,2.311348,,0.33108556,0.978652,,0.00023808,0.821175,0.0235691,0.55748,,,1.5750187,36.97274374,0.0231429,0.2535236,,,,,,,,,0.20237,5.16924,,0.490448,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
"Asia, regional",798,15.0942105,0.00932373,22.10788814,36.73403296,545.7975441,0.97192932,2.9708776,15.42655041,0.0118022,43.99388769,6.05165771,204.1088863,24.06389635,,0.0800604,0.00155664,,,,0.145538785,174.72745,,,,,,,,2.05156,,0.0507494,,,,,251.8137283,45.00405,,,,,,1.120613,85.60075337,,183.109856,34.98771212,4.4312218,1.9547626,,,,,,,,470.0422611,94.58424747,,,,46.2614547,4.781908481,,,,3.89753335,,,,,0.032005,8.68496,,,,,,,,,,,,,,,,1.03201,,17.9223411,,,,0.541667,,,,,1.308488,,,,,,0.263701,0.45,,,0.2,0.1,0.15,0.378015,,1.75083,0.00937975,,,,,,
Azerbaijan,611,2.90616594,,0.00538529,25.83724894,48.61056113,0.1045261,0.4180959,0.0316674,0.003652781,1.165985938,5.07334601,1.0350361,0.10592472,,,0.0807831,,0.04207751,,0.24505887,3.69513,0.00200274,,0.04445031,0.00784,,,3.283454401,1.35797812,0.05790056,0.03422642,0.06585942,0.111340729,0.697538,,,12.77155,0.614066,,11.43184,,,,42.90714531,,21.787438,,3.260375,,90.2263264,,7.7203112,,,,,633.2995954,23.73264885,,,0.1875491,0.2121051,1.202912913,0.093327,,,0.16503674,1.100681,,,1.41951,,0.54447,11.3038,,0.35531,479.102822,,,,,,,,,8.61623,,0.30542,4.85154,,,,,,,,,,,0.119878,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,666,23.26215582,1.21964345,36.35109405,96.33642596,118.8163768,1.517207642,47.57765108,60.49753959,,54.1543888,45.74767074,320.2559422,2.865929696,0.0526778,2.6588589,3.14138024,,,,1.202352902,10.05854,0.00236357,,0.0181484,,,,,0.0797475,0.009555818,0.059011,,0.000490971,1.37692,,89.27918204,327.4967,,92.9221,27.9926411,16.06241,,,1297.705966,,78.379846,54.99790958,3.5239657,0.1212776,,,1564.58011,,,,,1076.875289,168.622958,,,3.96111715,0.3078755,1.985602038,0.473938,47.36407,,4.86483363,25.1845031,,11.555234,,0.0550909,5.50117,45.621342,,26.65738,,13.4699,,,,,,18.00252,,37.5961,,61.75136,34.501975,,32.83245805,,0.690417,,1.925178,,,,,0.1875,0.8571567,0.1684204,1.3013724,,0.5,0.05,,,,,,,,,,,1.021044,,0.21,4.679206,,
Belarus,86,1.294186955,0.0153429,0.28645,1.962740329,14.9176102,0.53452284,0.6492989,0.08692671,0.00542901,6.85277116,0.29956476,1.645307944,0.145387566,,0.0125741,,,0.000627251,,0.337444161,0.11227,0.0234881,,0.69759324,0.04197,,,0.0802061,34.15210798,0.007726844,0.39655382,0.00652425,2.164977711,2.84347,,0.024065352,9.08641,2.15994,,,0.06411,,,0.67027826,,0.136284,,2.13208947,,148.7178066,,,,,,,,29.59317944,,,0.70205784,0.25329,0.052372754,0.411151,,,0.29055708,0.6967622,,,0.600812,0.4110023,0.35493,,,,185.508082,,,,,,,,,,,,6.29346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,352,0.00822613,,,0.01827102,0.0273334,,,,,,,1.03076858,,,,,,,0.000820253,0.00356426,,,,,,,,,,,0.0259648,,,,,0.541956613,2.95926,0.0586024,10.7164,0.0133333,0.0125,,,0.847780914,,0.100754,0.066269254,0.4698718,,3.093668,,,11.30328,15.57162631,,,,10.80892032,,,0.06927379,0.11052,0.237699845,0.211196,2.81204,,0.0467915,0.7948002,,,,0.01,,,,,,,0.867317,,,,,,,,,,1.0485,,0.311119,,,,,,,,,,,,,,,0.0166667,,,,,,,,,,,,,,,,
Benin,236,0.0181164,27.68355008,4.66044,51.27016521,42.10428787,2.679766237,26.3334245,,0.00201345,0.662801,28.40290422,0.51850563,0.002224714,,0.107844,1.419172226,,,,0.31097318,0.52639,,,,,,,,0.0177217,0.00670455,,,,0.00504575,0.432432,18.19593285,58.13001,0.0966799,0.204202,9.0686194,1.07224,,,14.26231902,,0.184954,0.032014,4.10137222,,,,110.5066595,,,,32.161081,,94.4456714,,,1.50071228,0.494055,0.216829106,0.343037,2.694692,45.0706,3.78817243,7.1452001,,2.3994413,0.164667,0.1342057,1.55937,85.2829793,,2.138364,,,,,,,,,,,,11.32258,23.34152,,2.48776314,,,,,4.083667,1.799354,,,,,,,,,0.25,,,,,,0.2,0.00909091,,,,,,,,,
Bhutan,630,2.45220518,,0.177199,0.02396792,0.69019259,0.04194619,,0.09614574,,0.034879174,1.42005067,0.3398288,0.19012832,,,,,,,,,,,,,,,,,,,,0.00280774,,,0.053021068,0.71227,0.00475563,,,,,,18.80255804,,0.534472,4.404536336,5.25509,0.323532,,,34.4449399,,,,,36.22440386,15.0425122,,,0.9418502,0.24763,,,,,0.51218259,0.8890077,,0.0185831,,,0.54037,,,2.53602,,,,,,,,,,,,0.08021,1.194566,,0.50897354,,,,,,,,,,,,,,,,,,,,,,,,0.11875,,,,,,,
"Bilateral, unspecified",9998,133.9349204,664.9594535,1003.123783,1979.349498,7037.053626,1382.885148,2503.642268,1608.246711,31.02281932,1784.6993,884.1257393,4908.807616,178.315286,29.52582056,187.0630022,77.82971806,0.0907589,28.01854148,19.39969649,318.1324307,1175.84938,12.34690068,0.557376,41.53471503,22.36222,18.71,4.63,6.12906329,13.75771325,2.458252356,7.96556638,2.21294021,2.552257387,47.68004,9.608048,695.1537908,9860.08563,107.319,,88.44420213,1439.73462,4.875996,21.97562054,2020.275538,265.335378,273.0258134,695.5119151,54.12302313,35.0071587,,,,,,,,,2129.8835,,3.06128303,188.4873121,174.7869211,99.00856326,5.92003,11.03057,,,606.0437913,,0.4821155,244.7447143,174.8970222,16.72489,0.0008249,39.06989,,,3.21802,,,,,,,8.2537421,,0.637319,193.775456,8.170254,2.1679,1732.735223,211.991158,52.698153,44.0082735,1.429515,1.450233,4.57883,6.3438776,18.3196953,141.95778,2.732911,0.251824508,103.8404648,,7.633864,62.2170224,25.64075,3.1,,27.137475,64.9746352,109.629347,1.813327,43.085308,84.842413,195.701131,0.2873131,1.302,6.725,4.898537,0.4868516,0
Bolivia,428,0.20436555,10.85650894,27.82036504,40.18445327,49.17137724,10.50037354,,3.25861054,,30.12600818,28.45748292,0.765686943,0.316599015,,0.2245047,1.322150104,0.000958185,,,29.79208683,0.00043,,,0.032304459,,,,,,,,,,,,11.93641389,1.57459,0.0107141,,,0.005,,,9.20409847,,16.491243,0.033698589,2.7483348,0.0418205,16.813226,,38.894798,,385.0482634,,,,43.16858684,,,0.83331677,0.26444,0.776564972,0.095568,41.2861,,0.35790865,1.5339182,,0.502914,,0.006,1.08392,,,4.88804,,13.794718,,,,,,,,,,2.0335,9.49722,,0.4040157,,,,,,,,,0.1,,,,,,,0.1966667,,,,,,,1.716,0.0085,,,0.372,,,,
