donor_code,1012,913,914,953,921,916,915,801,1,2,1601,301,1011,1013,68,3,82,918,990,18,4,5,1311,811,1312,1313,40,75,20,912,988,958,909,901,905,903,21,976,6,701,613,742,552,84,22,7,820,104,8,951,978,76,9,77,69,61,50,10,11,971,959,948,974,967,963,576,12,302,923,964,966,928
Azerbaijan,,,,,,1.779911,180.828598,,0.67245027,0.438068,,0.13089556,,,0.11123973,0,0.01857502,12.10560945,296.142561,0.1206019,2.617970139,52.82483286,1.98201899,2.0435105,12.22243,,0.0311782,,,,,,,363.588533,54.4482486,,,24.46073,0.027199194,80.80276152,,76.743685,,0.00768529,,,,,0.5634824,10,1.768808,0.16381587,,0.043355841,0.01194,,0.000644819,0.786974533,4.289489,,1.14925689,,0.72899944,,1.184531,,3.45846128,15.29642,,,,0.37798604
Bangladesh,,,,,,454.3571847,202.9596373,85.73352574,0.5391423,1.671642,20.83324248,71.8146931,1.647149962,,0.02015475,36.03321065,,98.22838905,,0.91106121,4.446142202,67.86355394,35.9960061,0.39189268,17.57672,,0.05347656,,,,,138.94,,,810.39754,,1.6916535,169.414475,1.928420515,405.6607549,,73.657679,2.603622,,2.317064,70.2200839,0.6998286,5.477466,11.15982277,51.508105,,0.01688495,,,,,0.0358886,49.33510225,33.05696977,0.5164404,12.62670735,,7.470506075,,24.075238,0.17872,343.2447827,254.37702,,,5.61435,5.81850125
Belarus,,,,,,,,,3.335020763,0.00400292,,0.13859872,,,1.23467353,0.8998526,0.27995221,27.61933772,291.6664085,0.38795488,2.64598589,14.02057299,,1.68852227,9.85871,,0.439475598,0.000634578,0.1979637,,,,,47.2966158,,,,,0.14275745,0.74803279,,0.637508,,1.853920113,,0.00736367,,,3.0757741,,,20.0173393,0.00726416,,0.26006,0.0199018,0.09192787,11.10937426,0.6147714,0.0809323,0.7190515,0.031751,0.29592746,,0.946618,,0.81191232,14.52498,,,,0.16669282
Belize,1.11581,,,,,,,0.5542536152,,,0.1277461,0.09028515,,,,,,19.06440167,,,,0.03731547,,0.4054764,0.1,,,,,2.076509,,,7.42663,1.9413,,,,,,1.297968331,,0.338446,1.828842,,,,0.0043207,,0.1617024,2.807681,,,,,,,0,,,,0.08287,,,,0.818963,,1.991317,2.56555,,,,
Benin,,0.0289075,52.67296212,7.7555318,,,,0.05235775537,0.035417753,25.22647887,3.74449714,5.43190447,,,0.0228758,0.729528627,,74.90596736,,0.1103091,42.98616754,77.70529937,9.5232835,6.23789138,31.15497,,,,,,,16.1245,,,128.8223801,,0.1505678,10.22717,1.42097987,10.20491158,,0.095723,7.800403,,1.442574444,42.57868643,,,,7.058566,,0.002235043,,0.000992059,0.01592,,0.6131471047,0.85796983,19.59043925,0.369347,4.2433003,,1.81987045,,5.64484,2.83614,,39.28979,,,0.2309,1.51116444
Bhutan,,,,,,76.48501839,0,11.17733737,3.23202092,,0.26813314,1.498338296,,,,4.257211774,,4.74026197,,0.55928047,0.02629689,0.62542792,0.143059,2.972305,0.604338,,,,,,,,,,7.01419174,,,,0.0229674,15.84671787,,1.123529,0.0488722,,0.116747,,,,5.4025957,,,,,,,,,0.0857155,5.787428266,,1.2315381,,1.03738817,,0.86021,0.01456,,0.31525,,,0.22736,1.71098086
"Bilateral, unspecified",,,,,,4.50404,22.5437,834.6241962,303.2366677,641.8623033,1335.155464,394.5023587,,,7.1016309,1080.93847,3.7335826,1351.754062,,230.2056935,1738.172063,3015.500892,120.4236977,82.73130807,,4.2359382,29.58459722,18.57415327,12.31203835,,,,,,,,106.4408217,,982.3791771,1353.069986,3.94520047,201.31028,0.90988484,2.802320699,57.05431425,3013.896946,49.82549499,0.123428,1858.104221,9.314597,41.15842,3.55998572,13.36533146,1.130354639,7.05717,7.30617993,219.2569896,2309.96812,1128.139129,160.5894835,65.23238908,,33.03563511,449.789,486.9435658,564.47545,3856.909131,8283.09756,0.011369,,26.7043,167.1822524
Bolivia,,,,,,,,0.145452172,0.248472274,19.72264652,0.00856108,17.31787705,0.454811,,0.04912937,29.49489786,,35.9275839,,1.02983764,9.229828762,44.10371506,0.7290472,2.20082018,3.543898,,0.0108186,,,310.847945,,,12.1,0,39.87962656,,0.258486,,6.997700927,15.19544907,,18.334446,,,1.31497122,6.40318902,,5.30715,5.04250073,6.82303,,0.0666488,,,,,22.36155719,29.97199,38.91994516,,2.24787462,,1.24581459,,1.535748,0.02007,1.12743996,34.96313,,,1.76236,
Bosnia and Herzegovina,,,,,,,,0.00104233,28.35259812,0.1562491,0.0125081,0.70970379,,19.9039116,3.67187808,2.6369126,0.08624118,386.5316182,167.64768,0.579677001,4.137865188,35.9688715,,4.2612963,5.511917,,0.28450858,0.1373796,,,,,,58.4474539,20.9666352,,,,6.220078686,8.088590331,0.1,13.647893,5.19236,,0.38242142,5.48095836,,,16.2031026,3.885483,14.091295,0.1981483165,0.432651582,0.046159697,0.56255,3.207308128,0.8638982,27.15205091,28.48599239,,0.62615726,,0.6578505958,,1.194633,2.59801,5.8220781,47.40846,0.186096,,,0.29446782
Botswana,,11.773255,0,,,,,1.276681379,,0,0.6542375,1.06469799,,,,,,40.79893323,,0.4797884,0.772710497,0.231064,,2.3761398,,,,,,,,,,25.94351,,,,,0,4.73557504,,0.120525,,,,0.168625,0.1694452,,0.1411448,1.84237,,0.0150504,0.0733528,0.0033341135,,,0.01031179,0.5718009,,0.9402147,0.73705926,,0.7937372818,,0.855338,,1.028326054,57.19693,,,,0.97981953
Brazil,,,,,,,,0.3552326681,1.58131462,2.87616238,7.5156508,737.9077217,0.01039,,0.00481747,0.828839,,18.28559136,,1.064463027,224.3462467,519.8596785,,25.71716845,,0.20446,0.0740481,0.00069573,,13.410647,,,2057.435003,1925.712916,,,0.549504396,,6.132855606,117.1531947,,64.02659,,0.00148364,1.86443712,0.124185221,0.0301117,,140.3671617,,,0.12143419,3.685482054,0.00694353,0.01327,,5.299042577,1.553574746,3.655651,0.6785568,0.4443109,,2.05147924,,2.732379,0.02955,18.06913176,31.49507,,,,
Burkina Faso,,,30.4773829,3.9603736,,,,0.1131276063,4.86642729,10.56519131,9.52259314,37.55437636,0.73378,,,70.4222683,,199.3679417,,0.2621782,76.6697627,49.84622797,37.6516237,1.86590438,14.936045,,0.00757596,,,,,7.7507,,,244.8754334,,0.40561758,9.22071,7.36650577,23.54736681,,0.195672,4.526023,,31.06939874,0,,,0.745081,4.488025,,0.0124718,,,0.00398,,2.026019517,19.74312605,32.84958543,0.6116776,5.22650636,,3.73782442,,17.070184,2.38195,0.696743,213.78762,,,3.42528,1.57059127
Burundi,,0,35.8525694,3.990376,,,,0.9563746798,0.074697146,62.40928784,0.11078114,5.079561147,,,,0.516134,,95.1514895,,0.85834911,12.17252582,25.8511781,12.52173146,1.30180892,17.03471,,0.018031,,,,,15.1975,,,63.34576192,,1.20295424,,0.520741182,9.044403136,,0.577251,,,0.99111549,27.64219731,,,7.22813178,30.95054,,0.14778725,,0.0143521,0.01194,0.0398036,0.2221819,1.283572539,10.46334814,0.5063836,8.83839395,,2.868530349,,10.533056,0.10019,10.05592746,40.78218,1.94601938,,4.86564,1.01874473
Cabo Verde,,19.57098,4.214388,7.7859894,,,,0.12406893,0.264804872,0.00214011,0.114618,0.06673305,,,0.00460032,,,21.23618115,,,9.506135099,0.4894883,,1.16593,1.282849,,0.0108186,,,,,,,23.476477,26.656622,,,,0.02700862,11.00690641,,0.022436,1.62779,,15.16895369,,,,0.0580381,4.06236,,0.00171195,141.6757708,,,0.0167175,0.54740007,0.128573,0.1418699,,0.90691667,,1,,1.219168,,0.1314064,7.46173,,,,1.01942393
