RecipientCode,RecipientName,100,111,112,113,114,120,121,122,123,130,140,150,151,152,160,200,210,220,230,231,232,233,234,235,236,240,250,300,310,311,312,313,320,321,322,323,331,332,400,410,430,510,520,530,600,700,720,730,740,910,930,998,(blank)
666,Bangladesh,,231.765896,278.1491961,144.7889151,49.35010089,,84.3682966,293.8499403,3.5190948,97.31712681,325.3162138,,403.2059099,9.621337155,372.102212,0,1150.599245,28.16482926,17.4293,90.41445212,32.11297893,374.2832162,5.2,0.005645,468.1523605,302.4750549,156.038188,,,152.3548915,18.725304,19.7196498,,98.79504126,0.001446,0.054251,23.48702355,0.01046195,,33.07513876,298.8102191,0.00278742,89.45760652,,0.9454547,,651.0827226,7.08078867,145.1731083,44.1352868,0.48442579,201.3792823,
86,Belarus,,3.90030016,7.54784318,8.25689477,41.18854046,,2.21901437,6.18250218,0.09456221,0.483773737,19.60681972,,32.26672286,0.11519328,2.872840651,,68.954677,3.8872375,,4.3529951,20.4597595,0,,0.44358708,3.537,151.0417741,3.3770265,,,0.28208654,5.0539267,,,131.5885027,,,0.1524121,0.279161848,,7.443266878,7.79498916,,,,,,1.30227872,,,4.12206261,0.16250015,23.95725991,
352,Belize,,1.598554496,0.625752506,0.20186861,0.448010973,,0.124277062,1.960311711,0.016878146,0.060922676,3.772369803,,1.69977521,0.189964,0.5418437,,13.5957952,,,0.1004627,0.5832018,,,,,,0.001869,,,2.2394983,0.00433776,0.023659031,,0.0465898,,,0.01134,0.95854993,,3.133702025,3.687205727,,0.0139597,,0.024534,,1.68128922,,0.3985684,1.94420173,,29.73619919,
236,Benin,,9.844819465,16.45591834,12.29162406,19.21806938,,7.75988642,76.64085959,0.04,41.35235814,50.11021417,,107.2482457,0.489272,25.95337456,,11.21443628,28.82437163,,50.8855952,4.2697049,0.469859,,,40.8730697,4.24005709,3.4541073,,,57.84695378,4.76679615,1.413193756,,9.65029833,0.0471958,0.0111944,0.00612575,0.03899942,,6.69773535,20.42307714,10.7839273,24.56834133,,2.94800177,,3.91324205,0.14538,1.159621,19.98964167,0.07998082,36.76687174,
630,Bhutan,,8.78792314,1.6919822,2.23343961,1.65553988,,7.844590696,5.68279753,0.39427639,4.61259377,6.38319983,,23.63395019,,7.401074846,,19.47892812,0.5169367,,1.46966634,23.8219213,,,,2.87069998,32.44034181,0.474765,,,5.759796788,5.8396164,,,0.43259249,0.0135387,,2.2605866,0.34249386,,2.235051786,24.77491757,,0.00672,,,,0.905,,9.11284838,0.164,,5.55729374,
9998,"Bilateral, unspecified",,641.2558397,743.9252132,123.6083937,605.4720422,57.872,1300.720565,2436.014162,82.53533809,2446.734651,349.16593,,2581.55214,711.6129394,617.5260906,21.560201,42.93458278,82.68738925,10.5784,194.9599083,302.9812598,0.131601,,7.58701427,4.1632354,1572.840538,757.4502379,0.132982,,1117.960781,151.6533857,103.8694407,,603.2214392,19.71719364,18.73425508,251.9638462,9.607227664,,1638.091632,3415.390134,0.978131021,109.6831,0.524826,18.867352,3.19988,4258.911551,25.51659328,204.4987659,7448.125411,9437.670744,2099.643047,
428,Bolivia,,8.153964365,3.853794101,4.443308275,8.572699764,,61.50525121,23.87036456,0.474812442,12.78516388,234.8662464,,44.87723939,0.0905593,32.46424881,,192.609935,0.64851784,,100.8585743,28.33687645,0,,,4.400583,3.902527,4.552523026,,,62.05015625,1.19796288,0.00899621,,3.07568681,0.8166087,,0.5591164,11.59052042,,159.4318145,49.00205907,0,0.0416792,,,,3.10119642,1.30024,2.946557415,5.00613909,0.0666727,11.66125996,
64,Bosnia and Herzegovina,,7.861107875,1.577975533,2.92849184,37.80975443,,3.179774742,8.498088424,0.682952,0.387639095,22.7923424,,137.0744235,39.93590124,32.89423559,0,178.5124416,4.55356563,,9.976184,16.69072285,22.182924,,,18.1649598,87.4013168,13.97472013,,,18.60472991,0.7536656,,,11.8706845,0,2.43785,3.770694718,0.7847536,,4.71950556,31.65705654,117.718,0.0827753,,8.3183825,,17.29145743,9.82399276,2.343287628,13.48776408,,10.12829145,
227,Botswana,,2.10677226,1.61176887,4.0850408,1.053688927,,0.95682425,11.49112249,0.677984,39.85152021,0.20179241,,3.007291123,,2.032367333,,15.611052,0.30159851,,0.170031,0,,,,0,0.29512033,0.42729807,,,6.862480446,1.18443447,,,0.1222801,0.08988322,,0,0.037181106,,2.6071449,4.144149523,0,,,,,1.0221074,,0.683555,2.1854098,,1.21202338,
431,Brazil,136.055,60.21179299,88.33370371,79.61679347,68.84635029,,181.339895,5.461032222,0.31884626,2.947714475,224.5880937,,256.5172509,30.76375351,169.9128925,,811.4202798,16.6578038,,10.69608659,103.3246906,0,,0.594736,46.033064,21.60753857,2.30578762,0,,137.4255096,49.57159657,1.333066356,,59.97612691,2.93492956,0.0505017,1.50957317,30.26078589,,121.0694065,143.4041704,0,1.9646322,,,,21.20086457,0.26555482,3.88418388,13.53032167,0.323062,53.51832405,
287,Burkina Faso,,24.21939626,26.67625637,19.73917897,17.86202808,,54.25043631,196.7976595,0.749714064,37.18973197,152.532201,,140.8940514,19.15263063,34.70458244,,23.76970153,7.33721569,,2.5983567,11.60061556,0,,,22.4659026,5.532442239,1.64639328,,,175.7217555,12.17740499,0.0838767,,7.31888584,85.431742,0.77106101,1.274112904,0.0202957,,17.06899165,47.00957982,82.09059424,22.2749224,39.7218,3.32846425,,108.2331692,0.665783929,4.36878221,22.88329348,0.953208231,117.5502292,
228,Burundi,,8.85636833,7.86167802,2.28899655,7.100948442,,10.88141715,162.4477185,0.1289228,26.48162812,19.13145158,,34.6386298,10.72714959,10.43624793,,29.58867783,0.1462551,,2.8246987,68.91791165,3.26353539,,,10.74011,0.04091369,1.0159388,,,68.90693373,1.5473392,0.0122149,,2.06505637,0.0551895,,0.34728511,0.000259778,,0.33282658,16.63806863,0.0400985,21.9321667,,3.44316914,,71.97590234,2.9572083,9.3179529,8.90793463,0.0569437,19.99129585,
230,Cabo Verde,,6.79613711,0.38268078,5.99328747,9.596259052,,10.60769202,1.48150585,0.0895934,0.71221732,6.3655047,,59.34002855,0.4214267,2.944713525,,19.65266534,15.52409017,,9.1226322,1.18487,4.254745,,,3.0029608,5.829119057,10.8592389,,,1.62975274,0.0516575,0.195807,,1.04193233,0,,0,1.42133003,,2.47741284,5.21676585,17.8703692,4.1378944,0,,,0.141756,,0.13813187,2.411383167,,4.00822126,
728,Cambodia,0.0181521,81.71351744,15.96679551,28.52035703,19.38312927,,21.14075086,88.4556153,0.638334,17.17488259,144.2991946,,76.29220022,13.73224488,21.64366556,,176.7598866,3.303839938,,3.89621435,1.952892,0.782908,,,35.24779,170.5323346,1.11595171,,,87.98006018,3.89054517,15.59229877,,5.293068466,0.10476491,,0.99952016,0.26530019,,19.54135397,107.0093347,,13.589108,,0,,4.596102,0.0237095,1.2914122,15.30601458,,68.76425497,
229,Cameroon,,25.8114104,11.74459996,7.085254117,82.99619122,,27.99562226,107.5016806,0.5387934,63.0257139,104.7795255,,112.979151,10.94441461,40.43165263,0,163.3187872,5.7552333,0.132867,175.5845338,57.00961052,0,,,14.8227085,0.146965529,1.34171038,,,110.1036097,16.54206972,0.139691633,,6.47423777,49.558096,0.004141941,13.01941907,0.06069567,,14.16179533,44.29065839,186.8025,9.651312,,,,142.4407279,2.350460788,3.3798475,13.20767462,2.911699108,102.5764934,
389,"Caribbean & Central America, regional",,0.6889339,3.18917714,0.60329964,16.63421289,,0.6967433,1.46112332,,11.37275512,2.93836,,70.043894,143.9832009,14.88758793,1.85688,0.15713,0.3482498,,4.9652903,42.09624066,0,,,0.15113,35.76677344,9.2071578,,,9.35847978,6.951489,,,2.25419908,0.06,,5.9162731,,,58.58821412,16.10022778,,,,,,28.6936186,0.191001,4.86431009,4.1209867,0.0950015,25.32615762,
1031,"Caribbean, regional",,2.867333465,2.71403659,1.90217862,1.916442368,,0.548716388,17.45818082,0.019655,0.1004623,1.667905842,,28.2297692,0.4442216,4.3642907,,0.72237418,0.0369436,,5.125381,26.75298611,,,,2.634257,4.35990043,8.34836082,,,3.73347416,0.14415009,,,2.28806804,,,10.99119962,0.1571401,,11.72087701,22.82851831,,0.0535095,,,,1.4498866,0.235494,11.59737257,0.532973,,14.99155371,
231,Central African Republic,,12.09211224,11.88246051,1.026961,4.94626279,,11.61619813,61.14690467,0.180556,7.94569981,7.3803939,,102.2864483,49.53517382,42.25675247,,30.83392346,2.8020607,,0.0442472,1.3754101,,,,0.628703,1.45523,15.771696,,,2.473186684,0.2588921,0.16880619,,0.5599235,0.226513,,1.0052369,,,3.7772679,19.26827854,41.73627902,17.146737,,1.604420215,,292.1743677,15.46273309,2.67573463,6.448920476,0.29864984,18.99203072,
1032,"Central America, regional",,1.96871,3.02985,,,,,,,0.28893422,0.55185919,,2.2967127,,1.75921317,,,,,1.9662874,2.185815,,,,,,0.0776921,,,0.401676,0.770173,,,0,,,0.146636,,,3.98702441,0.4937986,,,,,,,,,2.43152,,1.22378,
