,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,576,611,613,701,732,742,764,801,807,811,820,901,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1016,1019,1020,1021,1022,1023,1311,1312,1313,1601
donor_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,UNEP,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,IDB Special Fund,African Development Bank,African Development Fund,Asian Development Bank,AsDB Special Funds,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Green Climate Fund,IDB Invest,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,World Tourism Organisation,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation
Chad,232,0.0530797,2.31652884,,35.38263015,18.71723065,0.274750948,,,,7.0477688,26.23610573,,1.1847,,1.461002,0.110583,,0.00691142,0.92734399,1.29,,,,,,,0.004201181,,0.00515098,,,,,,5.99275393,75.775007,,2.68853,1.93663,,,5.07528079,,0.235325,,0.014219913,,3.9756237,,,91.40303583,,,,,57.2768,,,149.6904875,,0.016863,1.54091458,0.20449,0.214269,,1.93756,61.7283,3.58528638,15.56354545,,2.713411,,0.55874,2.8210514,16.07305,,4.110459,,,,,,,,,,,10.03258,42.4064,,3.48648552
Chile,434,0.27546122,0.16498657,,28.66336214,175.3789257,0.25608245,,0,0.061152264,0.135312589,0.2516273,9.07381527,0.27366508,,,0.1097456,0.01511666,,0.76738544,0.04,,,0.00917326,,,,0.0016908,0.00228189,0.0099532,,,,,,2.4573795,1.503233,0.233894,,0.0125,,,3.249828905,,66.366392,0.09527,0.403583137,,4.787888,0.3707628,106.55957,,,218.10614,4.70938,,,,,5.46316888,,,,0.95338,0.729768,,,,0.32432005,0.95333956,,,,0.000765,0.1732202,,,,,0.33783,,,0,,,,,,,,,
China (People's Republic of),730,5.52748772,1.39142802,30.02342313,160.1477765,836.3201398,0.83545108,2.1687795,11.22862616,8.836369332,1.82824652,9.83803922,63.57420901,1.965281755,,0.00829371,0.50144966,0.00202366,,3.13699265,2.41,,,0.04143501,0.08826,,,2.43571097,0.1595037,0.0601584,,0.0251133,0.0407028,0.013005,,2.840724945,46.134101,1.90129,31.243714,0.26304,,,27.97434836,,2043.314858,0.17505,12.79891175,,54.509724,0.538185,1378.093555,0,,,,,,2022.97665,16.27337,129.9524586,,,3.73646769,1.56128,0.645938,,18.26524,,2.04805369,7.06537533,,,0.603047,1.1524378,1.5923263,,,34.204403,,,,,,,,,,,,,0.509873,14.7339074
Colombia,437,1.05248014,2.8087124,0.29917,224.0477835,282.0707765,2.42199511,4.64282295,38.98687127,0.21208583,32.62785259,34.52017823,33.78575789,0.7850089,,1.4106242,0.86812533,,,19.60511839,1.14,0.0409156,,0.13655235,0.02212,,,0.143851,0.09921997,0.00948713,,,0.0132699,,,35.56930127,294.487028,0.193929,,0.011,,,13.20860863,,15.646956,0.00672,0.16099011,,13.31898,0.7865435,1535.4508,,,1085.01008,9.20812,,,,,91.0156983,,0.075688,,0.48225,0.641834,,,,0.55934409,1.09065605,,0.201377,6.9361,0.1619487,0.9331089,,,2.59457,,10.56332,,,,,,,,,,3.04317,0.519598,6.4692435
Comoros,233,,0.12555,,20.39495948,,,,,0.0063375,,,0.01349528,,,,,,,,0.34,,,,,,,0.0021135,,,,,,,,,1.031309,,,1.36392,,,0.28947952,,0.12735,0.04664,0.032855146,,3.1410967,,,5.9132748,,,,,2.90576,,,8.686731598,1.96247,0.454302,1.0200608,0.24735,,,,,1.1601941,1.44981817,,,,,0.7856263,0.04706,,0.3061162,,,,,,,,,,,0.63587,5.16091,,0.01376335
Congo,234,0.0443401,1.20886768,,44.16437601,0.42681621,0.64950843,,0.36021294,0.09647908,0.0011687,0.196024,0.120546,0.0165874,,0.00289285,,0.009930334,,0.132194166,0.31,,,,,,,0.00295891,,0.00298584,,,,,,0.1077788,4.234134,,,0.33345,,,3.82428928,,0.111225,0.03186,0.035508799,,1.8450407,,3.966744,13.1878569,,,,0.0145,8.94604,,,16.46610772,,,1.414060461,0.19464,0.00558222,,2.49588,,1.33581289,2.14972277,,0.79489,1.74767,0.5518569,1.1882875,,,2.17014,,,,,,,,,,,4.35215,4.58648,,1.28961335
Cook Islands,831,,,,0,0.0354654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2291989,,0.015111,0.03291,3.298709235,,1.2368653,12.47274891,,,,,,,,0.41216,,1.10583,,,0.24833953,,,,,,0.04999956,,,,,,,,,,,,1.17302,,,,,,,,,,,
Costa Rica,336,0.1029508,0.174525765,,4.680152989,29.55554243,0.26343127,0.99072,0.0197748,,0.040740992,0.04007413,1.08397333,0.00104142,,,0.00460902,,,1.360980434,0.01,,,,,,,0.000422701,0.00228189,,,,0.00295035,,,0.16559925,8.841406,0.101985,,0.13613,,,45.72833313,,0.89584,0.0747,0.29081992,,3.6462067,0.00227971,166.779596,,,154.44446,3.43201,,,,,21.39510225,,,,0.56012,0.703188,,,,0.42379515,0.68865934,,,,0.002582,0.4168236,,,,,,,,,,,,,,,1.74104,,0.228
Côte d'Ivoire,247,0.0456145,11.58620733,0,306.8103253,14.43528817,0.76961883,,0.347665,0.03046667,0.7642528,1.5198267,0.7901293,0.39120378,,0.00735486,0.0866367,,,114.3417292,0.95,,,,,,,,,0.03129141,,,,,,4.134304954,147.064368,0.1561,2.95548,0.02315,,,22.55047946,,6.024121,0.03447,1.538969076,,3.0620917,,,181.3625057,,,,11.24073,25.84741,,,109.8622323,,5.421542,1.22911157,1.31058,0.141121,,0.67875,32.2875,3.2676576,11.95158551,,0.613927,,0.7986676,2.9120817,41.14719,,2.429745,,,,,,,,,,,8.14342,89.43878,,1.82829984
Cuba,338,7.84692977,7.14267264,1.83074,78.57118059,2.40229825,4.90183036,0.2560109,2.530683148,0.264507334,0.413136,14.83047269,3.62798317,0.02412018,,,0.1856035,0.00199049,,2117.632399,0.05,,,0.15635048,0.05948,,,0.000422701,,0.00821776,,,,352.00529,,1.9791989,9.986428,,16.4171,0.034,,,20.47799329,,3.08052,0.00114,0.0260908,,2.463645,,,,,,,,,,,12.36982231,,,,0.01411,1.12488,,15.25742,,0.4416762,1.10583544,,,,,0.4841363,,,1.505043,,,1.34055,,,,,,,,0.312,6.2283,,
Democratic People's Republic of Korea,740,0.06440128,,,0.88648686,2.85227538,0.01985181,0.0332088,1.19045,,3.74710283,11.77960353,0.29146318,0.37491,,0.442331,,,,0.000353777,,,,,,,,,0.01555179,0.00703165,,,,58.62725,,2.0373889,2.142793,,0.606353,,,,,,,0.12966,,,,,,,,,,,,,,6.8955911,,,3.70272454,,,,,,2.99395515,2.56335279,,2.370012,,,0.723438,,,,,,,,,,,,,,4.35737,13.03964,,0.56376335
Democratic Republic of the Congo,235,0.2445547,104.5921069,,62.94457424,85.26949646,12.50885684,13.291411,18.5155538,0.1234137,55.90284391,22.57792323,174.9045778,1.147335031,,7.12589391,3.55717633,0.1070331,,14.52909729,0.99,,,0.0144179,,,,0.0016908,0.00684567,0.0103671,,,,,,43.86322419,341.873108,,,0.032,,,41.43421966,,10.093115,0.04145,4.978199893,,7.581861,,,350.7121372,,,,159.16915,117.97127,,,213.9216859,,2.977604,2.4711994,0.5398,0.288612,,0.89058,,13.77553236,68.126167,,7.578995,8.95659,1.7372554,8.0823695,,,0.759744,,1.92186,,,,,0.552914,,,,74.45468,207.38312,,11.38123892
Djibouti,274,0.00244664,,,49.79251352,1.14327467,0.87197529,,,,1.469809599,0.223483,,,,0.03646164,,,,0,1.78,,,,,,,,,,,,,,,0.8496225,6.755843,,57.204389,0.04607,,,9.126182176,,,,0.014204999,,3.86466,,,8.4050832,,,,,2.32705,,,13.17305479,24.9958198,,0.70517441,0.10623,0.0664539,,4.96196,,0.83721508,1.08600471,,0.977348,,0.384002,0.7290752,10.4372,,0.988698,,,1.841062,,,,,,,,0.5246,9.01287,,0.01445152
Dominica,378,0.0147444,,,0.3120872,0.04129428,,,,,,0.0504578,0.063336082,,,,,,,0.00174567,,,,,,,,,0.00228189,,,,,,,,0.149392,,,,,,2.91351648,,0.116779,,0.042785959,,1.190259,0.0806981,0,0,2.18304,,,,,,,9.72169454,,,,0.08086,,,,,0.1401613,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,340,0.0571095,0.48655643,,85.28243617,2.14112653,0.28427971,0.0279774,0.0441618,,0.0133816,0.0252482,0.0202429,0.28217385,,,0.038704,,,11.79829763,0.03,,,,,,,,,0.00246828,,,,,,0.89442057,61.120948,0.074463,,,,,10.13622867,,19.751751,,0.125696899,,1.024858,,41.1303971,,,400.90299,3.15531,,,,,66.07601199,,,,0.27801,0.0863879,,14.1737,,0.37787822,1.3433324,,,1.54404,0.3951448,0.5272896,,,9.41344,,,,,,,,,,,,6.05031,,
Ecuador,440,1.37355914,26.15374013,,88.36535623,27.63545053,2.931712729,,4.247889,,1.991094847,4.3583414,0.12468732,0.05401114,0.100368,0.0918405,0.2175656,,0.0276457,11.45892529,0.33,0.0331748,,0.12583612,0.06897,,0.03,0.57950116,0.00228189,0.0101049,0.0221166,,0.0110583,0.483522,,2.776097263,20.641204,0.123842,0.360274,0.051,,,19.18082029,,27.642108,0.10063,0.055229378,,6.252561,0.3203153,18.030212,,,570.06734,4.78383,,,,,51.62454643,,,,0.40025,0.766846,,0.4,,1.03668218,2.08767009,,1.324289,11.3271,0.0011912,0.7653941,,,3.93028,,,,,,,,,,,,2.00502,,0.924713
Egypt,142,4.013877802,0.2801153,2.714790695,268.5727957,180.443915,18.09147842,0.990255979,3.92066936,0.11189314,4.877975671,11.61679088,15.63258,1.35713951,0.032127,0.057503,0.206401,0.2406723,0.00414685,1.25809293,1.21,0.0384828,,0.09930285,0.01106,,,0.17830023,0.017431797,0.096026126,,,,,,7.746808765,151.472079,,84.43751583,2068.7599,,,215.3748823,,83.781918,0.07286,0.907336322,,5.131374,0.0713653,1833.572433,0,,,,651.92987,,,,1041.853785,116.2028535,,2.15961974,1.00952,0.474737,,22.78251,,0.63966567,2.91336252,,1.708906,6.51403,0.105397,1.5711403,114.57287,,22.222512,133.812171,,2.02952,,0,,,,,,,0.77287,,0.01445152
El Salvador,342,0.60503628,1.75373999,,3.15491966,35.67824155,1.4098077,,0.8638058,0.000064138,1.1379806,2.4528046,0.04915842,,,0.103136,5.07198052,0.00854805,,19.14561055,,,,0.00313462,,,,0.000845402,,,,,,,,2.005312669,67.985783,,,,,,11.88459726,,3.87895,0.04715,0.175953481,,1.02663,,41.869855,,,81.72679,3.87401,,,,,21.09140456,,,,0.72508,0.392941,,4.9957,,0.45231822,1.02278343,,0.530676,,0.1163773,0.7610446,,,5.95098,,,,,,,,,,,,7.45344,,0.759608
Equatorial Guinea,245,0.019827,,,3.07130733,0.06531248,,,,0.0919308,,,,,,,,,,2.177391752,,,,,,,,,,,,,,,,0.0333861,2.134908,,,,,,0.06434581,,0.183613,,0.01201963,,0.700594,,,0,,,,9.04643,,,,0.0757603,,,0.52417288,0.14516,,,,,0.3419737,1.19930692,,,,0.2489459,0.5449437,,,,,,,,,,,,,,,,,0.05135
Eritrea,271,,0.619264,,0.17155147,0.91713531,0.42851815,,1.989839,,0.1303004,0.7431233,0.848959374,0.1417295,,1.3723145,,,0.257991,0.5491386,0.2,,,,,,,0.0016908,,,,,,,,1.056383,0.1365,0.094108,,2.10838,,,1.11806998,,,0.14591,0.02673758,,1.4074667,,,,,,,,1.97478,,,13.81119486,,,1.09571348,0.21308,0.0979858,,,,5.53805994,2.82570947,,,,0.0551436,0.8784537,,,6.61305,,,0.926351,,,,,,,,2.65411,17.18342,,0.01445152
Ethiopia,238,8.614201754,2.01307202,17.4870935,27.08659868,141.7269274,35.28147449,73.85240888,52.87350675,0.0406558,47.94553933,14.17117376,451.3188711,22.03846077,0.355925,39.2260423,1.32197891,0.00976446,0.0390136,7.632476949,3.98,,,3.229729035,0.00437,,,0.0900581,42.2908812,0.00619904,0.00110583,,,1.5,,90.74205139,878.434649,0.257557,5.77829,2.48689,,,62.61306578,,61.592763,0.00519,5.263768302,,5.054237,0.477646,,1197.683213,,,,0.43797,171.40319,,,339.655784,,,2.96597883,0.47012,0.773695,,35.65492,,10.84760698,39.02587876,,16.280805,,0.8205711,6.4442453,0.35191,,38.06865,,0.43072,,,,,,,,,84.49571,158.6471,2.28181,91.388317
"Europe, regional",89,17.00239983,0.4508767,1.943759216,1.86085371,177.7493801,2.89857692,13.8051482,14.9068389,0.020073,36.79480678,14.62708474,22.3668064,1.94503214,0.018972,0.2953176,0.207343,0.10330688,,7.064358872,101.68,0.1949148,,2.750524,0.68877,,0.33,0.00710422,0.2402658,0.161259,0.60378174,,1.997381807,,,32.73900269,107.759891,,,,,,2.10229341,,,,0.132788095,,5.101734,,,,,,,,,,,386.6938028,,,18.80830359,3.33576,5.25562,13.8458,,,2.40906509,,,,1.23593,2.7914208,,,,,,,,,,,,,,0.387194,,2.24463,,3.7217895
"Far East Asia, regional",789,0.392025,0.00774079,1.411276,,16.13001756,,0.221166,1.80389,,,15.3646054,,0.421646,,,0.995245,,,0.000995245,0.87,,,,,,0.02,,,,,,,,,4.101472185,122.05531,,,,,,5.145649778,,,,5.9179847,,,5.2407033,,1.739192,,,,,,,,14.7467703,,,18.17534457,2.32342,,,,,0.00355192,2.37267079,,,,,,,,,,,,,,,,,,,,19.78362,,9.555274
Fiji,832,0.0612772,0.131749,,0.917665261,2.34883221,0.0877718,,0.043936,,0.812424,,0.2618713,,,,,,,,,,,,,,,,,6.88582E-05,0.0221166,,0.0110583,0.022311,,0.565867,3.522921,0.196585,0.100324,0.0125,,,10.77164508,,1.849752,0.19522,59.26868021,,1.523182,16.42415826,50.1783866,,,,,,,0.93612,2.78975,11.35839836,,,2.24081903,0.24938,0.0879882,,,,2.32239078,0.0028425,,,,0.5066319,,0.30882,,0.11533,,,,,,,,,,,,0.82896,0.360684,
Former Yugoslav Republic of Macedonia,66,2.595254943,,0.0432902,2.43122086,9.44967979,0.08313055,0.05373788,1.945091511,0.03052527,0.42362843,22.09999864,2.48254747,0.10542221,,0.0167656,0.1171543,0.0486785,,0.0132108,18.96,3.00307456,,1.08841844,0.1843,,0.21,0.21108355,0.06806927,0.299916437,0.00442331,,0.02404957,0.374349,,0.0348574,22.847121,,,,,,0.914377628,,0.06422,,0.00660076,,,,30.31150914,0,,,,,,,,136.2485687,,,0.83595412,0.08766,0.578569,,,,0.57090436,0.6418273,,,1.34615,,0.2943209,,6.361854,,63.591812,,,10.996451,,,,,,,,1.18975,,0.013267
Gabon,239,0.266744,0,,31.17541194,0.9502903,0.23251816,,0.1522641,,,0.02025173,0.202429,,,0.00737218,,,,0.06736973,0.23,,,0.0337465,,,,0.0021135,,,,,,,,0.0492002,4.369094,,,,,,4.335352891,,0.304697,,0.00315915,,2.265947,,23.5224983,,,,,0.10876,,,,9.20159909,,,1.56185251,0.18156,0.135318,,,,0.3991248,0.89587153,,,,0.4686663,0.6206319,0.43571,,,,,,,,,,,,,,1.23225,,0.0377635
Gambia,240,0.0978898,0.19476283,,0.2980953,0.26582954,0.19503322,,0.1490336,0.0422493,0.43804014,,14.58072067,0.26238777,,0.08186628,,,,0.47931797,1.18,,,,,,,0.020275565,0.00456378,,,,,,,0.0393767,2.417995,0.056183,4.822132,1.12866,,,1.780468022,,0.3,0.04769,0.23341262,,5.039584,0.0500852,,18.6900968,,,,,15.69114,,,6.7374825,,,0.8440848,0.28454,,,4.51523,,3.25959976,1.69758269,,0.000432,,0.0762046,0.8093345,13.85049,,5.22817,,,,,,,,,0.607287,,1.68188,10.18477,,0.96432152
Georgia,612,6.57705593,0.016583,4.15671578,31.63950084,45.72821882,0.1370153,0.60715235,2.7997304,0.06887977,12.19585339,11.70740502,1.02825036,1.362812345,0.063737,0.14727,0.0826426,0.016908067,,0.590370431,5.31,,,2.770152423,0.44331,,0.26,0.494954568,1.83939892,0.391081344,0.94216539,0.19091011,0.259437782,0.013799,,0.0679342,88.716144,0.333011,,,,,18.04788604,,0.523344,0.00397,,,2.6461877,,60.223631,18.316552,,,,,,283.49806,128.80571,205.4000038,,,0.4468464,0.02601,0.237085,,4.6677,,0.58446565,1.00857746,,,,,0.5647524,,,0.335492,236.1188756,,,,0,,,,,,0.84682,7.69264,,
Ghana,241,2.75440592,11.01969059,55.54119156,82.28879628,27.90532323,1.32803811,30.64161211,3.35666997,0.000234435,0.63715637,12.64482342,79.16632004,1.056175935,,0.403599375,0.246433,,0.0388145,0.46226178,1.63,,,0.093523372,,,,0.221126996,0.02220757,0.00335509,0.00331748,,,,1.25143,46.22157979,228.911607,0.323051,,1.87737,,,33.41890188,,24.158463,0.01997,1.168847982,,2.31648,0.4694229,,304.4101384,,,,15.04421,72.90666,,,69.81999207,,,1.13718966,0.3465,0.571007,,4.13491,230.804,4.5903168,8.49720234,,0.236355,,0.791979,2.5937551,0.0475,,8.034468,,2.02159,,,,,,,,,20.98869,65.69858,,16.31801851
Grenada,381,,,,0.66685003,1.522556,,,,,,,0.000364575,,,,,,,,,,,,,,,,,0.00185663,,,,,,,0.497042,,0.884589,,,,4.34362329,,0.014033,,0.050442251,,0.606333,0.0143399,0,4.204316,13.37862,,,,,,,0,,,,0.08549,,,3.38112,5.55986,0.07798034,,,,,,,,,0.416438,,,,,,,,,,,,,,
Guatemala,347,4.794276989,3.7017162,,2.78573422,22.92357258,1.0813734,0.9800801,7.08921728,,30.38853394,3.028171668,1.484614422,0.25980678,,1.0037925,0.4248986,,0.0142652,17.06564418,0.01,,,0.0208789,,,,0.0016908,,,,,,,,10.95003388,141.199177,0.155088,0.198266,0.006,,,6.164924775,,4.875494,0.04247,0.158581268,,3.038076,0.131416,0.05,,,45.61782,9.56436,,,,,17.50650879,,0.339917,,0.44106,0.286438,,6.86881,,0.42308217,1.28091704,,3.312868,,1.0494015,1.2425278,,,4.66382,,0.07415,,,,,,,,,,12.81703,,2.1356918
Guinea,243,0.0705393,6.76256338,,51.5112657,23.24972401,21.40742336,,0.0761887,0.0718235,0.135916855,1.76675105,0.14946905,0.03142435,,0.31202917,0.62812216,,,14.70865492,4.29,,,0.0375904,,,,0.00507241,0.00456378,,,,,6.31612,,2.962186,126.093015,,7.52802,0.09091,,,18.0565574,,0.016144,0.07754,0.036571766,,2.872814,,,74.23194421,,,,,21.37711,,,77.47902006,,4.848071,1.592757879,0.63179,,,3.82051,51.0395,5.68853936,10.38070165,,0.287195,,0.3887852,3.5730192,11.19422,,4.82211,,,,,,,,,,,1.35533,52.23647,,3.1842843
Guinea-Bissau,244,0.4036274,0.356071,,0.56795902,2.8758491,101.8853818,,0.0761887,12.97165671,0.107637,0.5166005,0.0297166,,,0.24916844,,,,3.7664198,0.4,,,,,,,,,,,,,,,0.0188245,8.690333,0.056183,,,,,1.283834325,,,0.00468,0.00343418,,1.0509683,0.206813,,8.9036676,,,,,1.88419,,,23.23525252,,0.418578,0.74629049,0.22647,,,0.15,7.1055,2.56446729,3.32403862,,0.621272,,0.0068778,,0.016,,0.2952485,,,,,,,,,,,3.17287,15.13822,,0.05995152
Guyana,446,,,,0.1767619,0.0519079,0,,3.6750837,,,,0.88777353,0.0688311,,,,,,,,,,,,,,,,,,,,,,0.91164112,7.7816,,,0.005,,,0.66197465,,0.027636,,0.080011939,,1.8725457,0.1667444,,5.6400102,9.77823,1.58525,10.6761,,,,,42.17237357,,,,0.10494,,,,,0.53625601,2.25697942,,,,0.6835919,,0.125,,,,,,,,,,,,,0.1873,2.22273,,
Haiti,349,0.15728079,9.32614375,,38.94960409,21.65775968,4.04870196,,10.5514967,0.0102964,8.6745267,24.91315989,8.0922737,0.10632419,0.165546,3.13322146,2.31281607,,0.0276457,7.02355693,0.32,0.0552914,,0.0120429,0.37655,,,0.000422701,,0.0566572,0.0552914,,0.0110583,,,67.0821315,434.174648,0.085643,,0.01,,,21.45468782,,1.507796,0.10214,3.232272702,,4.048277,0.3702516,,62.4182763,4.33138,,124.22989,,,,,120.4490684,,,,0.34658,0.116266,,13.76861,42.6893,3.96853279,4.98807843,,7.528732,0.804263,1.2248857,2.2417828,,,4.42764,,0.08605,,,,,,,,,2.2865,21.22207,,9.85806052
Honduras,351,27.3759043,3.08614043,0.1259642,19.5782464,23.61428831,1.179167,0.152604,1.2358726,,2.060201233,17.07168458,0.23708344,15.65725569,,1.1766859,0.1677619,,,13.38896699,0.03,,,,,,,0.000845402,0.01,,,,,,3.42807,22.45805143,123.569131,0.454961,4.17273,0.01,,,12.74546012,,10.591938,,0.14459189,,3.49871,,,24.43118576,,2.4,142.11565,,,,,47.78268133,,,,0.29292,0.0850028,,47.34624,,0.69958263,1.35844234,,4.32206,,0.4653059,1.078716,,,3.08487,,0.66719,0.518143,,,,,,,,3.33802,7.11017,,1.72108752
India,645,61.82129733,17.41354868,11.9610234,169.9145359,618.3031331,15.18390268,0.72417641,18.12292996,0.295559117,5.137812289,13.77943628,127.7060224,2.71689296,,1.201093123,1.95634829,0.00199049,0.021898,3.639154894,0.74,0.00038704,,0.00143204,0.01703,,,1.06603791,0.08782009,0.0254223,0,,0.00922048,0.377231,,6.114949105,132.127054,3.06906,,2.09066,,,1800.468878,,867.177681,0.02979,5.858319723,,28.854334,0.8843015,1424.376706,1610.173951,,,,,,1817.01106,42.03246,303.7364585,,,8.01928617,1.59843,,,4.17707,,6.10332043,58.95501038,,,,1.3327572,7.3285208,0.19312,,32.644312,,,0.706276,,,,0.0608205,,,,135.08544,130.08791,0.464066,243.3297508
Indonesia,738,3.06612084,8.35321814,12.09348774,167.4225745,572.6835399,0.28168184,21.67475926,54.42600463,0.03960852,2.29166639,24.52557436,23.584763,1.9870833,,0.0129017,0.0719775,,,0.118563531,1.55,,,0.00490986,,,,0.410444593,0.17983468,0.00430693,,,,,,26.48833687,281.085115,,1.93371,0.05351,,,399.9214723,,2852.075778,0.41331,284.4262341,,18.192068,10.27843366,1611.437206,0,,,,,,1379.64567,16.18955,56.5557733,,,4.69396814,0.82941,0.368891,,,,1.23829226,4.92034429,,0.173222,,0.7605355,3.157726,140.21096,,18.87526,,,,,,,,,,,4.165,76.19612,2.45977,6.7878451
Iran,540,10.37112525,0.308363,,9.78967274,62.20424405,0.310480524,0.5432442,1.9285223,0.003317484,1.356010778,0.3161935,1.0684213,0,,0.0363828,,0.029791,0.0020314,0.691214695,2.37,,,0.12720589,,,,0.633606,0.0159732,0.0858414,,,,,,0.115570125,3.449313,,,0.0058,,,15.21772291,,0.391925,0.00681,0.21099417,,0.38,,0,,,,,,,,,13.08787713,,,1.13853009,0.09395,0.212114,,,,0.34119608,1.87808821,,0.546157,16.2439,0.3478784,0.9972514,135.4197,,,,,,,,,,,,,,5.29924,,0.035515
Iraq,543,3.1902175,18.30788718,21.7458554,10.19257433,365.4257766,21.5100479,42.69406795,47.9994325,0.00547827,40.46370649,11.47831473,160.7419775,9.891967,,3.04136987,2.0566212,0.00488776,0.033824,3.10070899,7.73,0.0331748,,1.86626217,0.07084,,0.14,0.653664,1.61199114,0.0772598,0.2488111,,0.0543985,1.57531,,61.85017493,438.433531,,86.8404,74.75348,,,628.9259888,,165.124038,0.00474,16.0403096,,0.9222437,1.694118,1509.85433,6.60604,,,,,,,,200.6208121,,,1.07486353,0.37636,0.238339,,,,1.16430743,2.88915394,,11.2826,,,1.4955996,2.2,,,,,,,,,,,,,,1.9754,,1.77741502
Jamaica,354,0.02066644,0.8634517,,6.57602925,0.2953175,0,,,,,,8.825576126,,,,,,,0.02117456,,,,,,,,0.000422701,,,,,,,,5.839054755,46.492815,,,,,,3.143994752,,0.302017,0.03024,0.218122417,,1.5750573,0.2438987,28.912265,,4.77576,228.22797,2.04084,,,,,23.11101995,,,,0.08432,0.259877,,4.02778,,0.4660688,0.8847582,,,,0.4991458,,,,,,1.8105,,,,,,,,,,5.26161,,
Jordan,549,0.314779,11.81504329,4.8224839,309.5056218,205.8841728,5.866697724,19.7379584,30.1347827,,7.34869461,15.48290417,235.9688908,3.48286152,0.176438,1.895474,0.552914,0.039245829,0.0276457,5.67411146,2.46,0.0276457,,3.42017532,0.04742,,,2.390709768,0.04112469,0.299333,0.0143758,,0.00663497,0.5,,60.7798806,881.63845,40.2246,246.187,238.0999,,,154.8533936,,32.783638,0.11499,3.33121608,,1.9958607,0.162843,346.065635,48.33337,,,,,,,,252.6043575,10.864748,,0.43382683,1.38004,0.410033,,8.16174,,0.4466547,2.70115329,154.3613,5.020083,,,0.8698045,3.25481,,1.5229687,110.851031,,,,0,,,,,,,0.06807,0.643663,0.2498
Kazakhstan,613,2.04656073,0.000199049,,4.18422874,15.19504351,0.06110923,0.50323621,,,0.075971477,0.0932017,4.728572456,0.005572268,,,0.0312391,0.00488776,,0.112992119,18.96,0.00438175,,0.11498474,0.00011,,,0.61293793,0.85019546,0.04098437,0.00552914,0.0137676,0.011603796,0.324382,,0.1051751,34.001027,0.949759,,8.52175,,,2.962054897,,182.048482,,,,6.4667277,,1268.23011,,,,,,,124.61586,2.12448,10.36099218,,,0.78251036,0.11164,0.338597,0.0461,0.82315,,0.27588682,0.87407734,,,0.494419,0.7853674,0.4111465,0.013,2.147452,,596.8892353,,,,,,,,,,,4.49372,,
Kenya,248,2.78489846,20.3443343,54.33989862,135.2586453,86.45197986,6.707977852,20.644606,11.45004592,0.00536326,53.8046477,9.546236123,181.0009511,17.91501258,0.100983,8.04350618,0.5974759,0.00687825,0.0471215,0.696694747,1.95,,,0.18778311,2.11243,,,0.1544928,8.7986148,0.00812391,0.0121641,,,,0.593741,37.72842435,812.858789,0.643733,2.682914,3.04308,,,164.9472734,,9.242497,0.0665,2.595264402,,5.587818,0.8355722,,448.5323842,,,,150.61435,198.18574,,,175.1026485,,,1.70132315,0.40878,0.498265,,1.95286,,4.98130349,17.13718831,,5.805896,,1.3642485,5.1358056,0.1201,,9.09929,,1.29749,,,0,,,,,,30.58107,106.38722,,41.74122725
Kiribati,836,,,,,0.00167498,0.540428,,,,0.00788874,,0.015998,,,,,,,,,,,,,,,,,,,,,,,0.160276,,,,,,,2.853893554,8.57,0.839533,0.0206,19.18046945,,1.87891,11.18383995,,6.76563528,,,,,,,5.22021,2.4077126,,,0.55148338,0.11161,,,,,,0.22079636,,,,,,,,0.670794,,,,,,,,,,,0.00061,,,
