,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,576,611,613,701,732,742,764,801,807,811,820,901,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1016,1019,1020,1021,1022,1023,1311,1312,1313,1601
donor_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,UNEP,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,IDB Special Fund,African Development Bank,African Development Fund,Asian Development Bank,AsDB Special Funds,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Green Climate Fund,IDB Invest,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,World Tourism Organisation,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation
Armenia,610,1.69843488,0.21288411,1.81817,81.99304512,43.80495696,0.593993858,0.2194019,0.2674769,0.001707401,0.59701179,7.29501272,0.59152511,0.219798254,,,,0.05207348,,0.51657213,0.02,,,0.41408547,0.01366,,,0.02255072,0.1676707,0.14778067,,,0.0418691,40.3264,,0.09998495,29.33512,0.16855,0.970338,0.89666,,,4.644353791,,0.148977,,0.0302312,,4.2032738,,135.037162,17.8774573,,,,,,111.33591,24.04102,111.3071495,,,0.34746086,0.1095,0.13405,,18.22347,,0.60869732,0.9809555,,,,,0.4977631,,2.973626,6.264596,38.0702954,,,,0,,,,,,1.10887,4.82025,,0.0754393
"Asia, regional",798,35.80819483,12.4367866,4.200803214,68.00598078,497.8020288,11.2363762,7.715796,21.0179062,0.0237443,28.64034741,29.69626599,93.22769956,28.87032206,,,0.0269771,0.0950459,,0.03826137,0.14,,,,,,,,,,,,0.125787,,,200.0918222,35.716973,,,,,1.12616,74.91470163,,225.963488,0.24116,69.89183065,4.557004,24.005816,4.9707795,,,,,,,,125.38786,67.63039,78.19443893,,,,5.02155,7.90752,,0.325,,4.22037187,,,,,3.6286343,9.1386519,,,,,,,,,,,,,0.94949475,,,,42.7959808
Azerbaijan,611,16.86905316,0.0070784,0,2.088908927,22.02429177,0.01239108,0.02566271,0.8028689,0.00165874,0.90723236,3.0311711,1.36077419,0.04787352,,,0.0496277,,,0.29535,14.24,,,0.07398945,0.00367,,,0.986674406,0.05056084,0.04874414,,0.00986398,0.015535704,0.046229,,0.0714275,12.039855,1.29573,,,,,58.62502684,,98.013411,,,,2.6989667,,259.291667,12.21746272,,,,,,944.54243,2.45188,26.4168215,,,0.41990129,0.15365,0.19636,,,,0.44969937,0.70457063,,,,,0.4141242,60.8701,,,153.4682438,,,,,,,,,,0.17034,6.50577,,
Bangladesh,666,0.8922983,1.5276687,25.51580328,18.31703735,64.20048756,0.24844417,38.23565965,2.849218888,0.001683072,31.54105739,34.05516623,219.5341058,0.44587073,,1.2993477,2.36058716,,,0.173498555,1.98,0.00631657,,0.0124196,,,,0.00829144,0.00228189,0.00862816,,,,,0.31515,45.92372215,255.220683,,39.6056551,29.34367,,,568.2789105,,33.898716,0.16484,34.18776025,,5.840005,0.2061276,,1021.550008,,,,,,468.39792,385.7392,115.1091976,,,7.74934354,1.28463,0.822179,,69.44985,,9.9045967,22.20320119,,1.110893,,0.2162364,6.9040846,104.84832,,50.390128,,,,,,,2.34435,,,,76.3787,36.39331,,26.08266716
Belarus,86,1.121201224,0.000829371,0.2593115,1.897153366,13.48094219,0.708034792,,0.4366393,0.00110583,9.79513314,0.475809343,0.53034791,0.105055767,0.38839,,,0.005695014,,0.12070563,0.11,0.02875462,,0.63677977,0.16876,,,0.084667673,19.17959878,0.01402415,0.20900143,0.029979,1.268785741,2.86553,,0.074204,12.402425,1.65887,,,,,0.21723834,,0.236225,,,,3.8182017,,134.1890876,,,,,,,,,31.15471036,,,0.72099056,0.02743,0.263183,0.0155,,,0.47432669,0.87028405,,,,0.0131172,0.3162376,,,,37.469078,,,,,,,,,,,8.36738,,
Belize,352,0.00732611,,,0.00487284,0.03376599,0.296915,,,,,,0.57034464,,,,,,,0.14495037,0.02,,,,,,,,,,,,,,,0.11155872,1.84455,,3.4891,,,,1.196114096,,0.126891,,0.053304109,,2.81712,,4.47933,,21.251,4.66499,3.43891,,,,,17.1551819,,,,0.08086,0.156364,,4.53786,,0.2532062,1.17642637,,,0.97623,,,,,0.332473,,,1.99351,,,,,,,,,,,0.228
Benin,236,0.055697327,20.00066821,0.00099406,31.72201816,39.83546749,1.34412464,29.73426481,0.0182139,,0.858811196,24.54416861,,0.04063246,,0.0240982,0.9840577,,,0.66497833,0.68,,,0.0119981,,,,0.000845402,,0.0100509,,,,,,7.97656067,58.207169,,4.65836,0.51318,,,10.92408511,,0.231625,0.05277,0.038534223,,6.927291,,,128.468411,,,,0.04348,50.78697,,,50.11627517,,,1.22014263,0.23848,0.435783,,4.39444,,3.89939339,6.77890232,,1.544465,,0.4809048,1.6418221,7.04444,,2.49234,,,,,0,,,,,,7.19819,22.69636,,1.67857052
Bhutan,630,2.587054932,,0.0098346,0.01572433,0.57258945,0.00865356,,0.3467614,,0.09797285,2.697111238,0.0831911,0.27502081,,,,,,0,0.1,,,0.0319663,,,,,,,,,,,,0.123034616,0.204707,,,,,,19.79101133,,0.710278,0.99923,4.102435048,,3.447573,0.132703,,1.9997137,,,,,,10.91054,10.42613,6.30189922,,,1.882125512,,,,,,0.85846098,1.01171661,,0.022569,,0.001898,0.7340672,,,2.074976,,,,,,,,,,,0.00179,1.22955,,0.38732952
"Bilateral, unspecified",9998,719.12166,1025.804888,984.1349594,1456.985835,9055.469674,1786.742817,2166.922342,1912.084244,15.10939747,1858.998373,1272.179522,4003.325602,251.3831693,25.972978,105.9635624,57.04992412,148.253451,7.73604606,211.8673783,198.1,11.78145049,3.47,22.53583095,11.87291,18.86,8.47,11.15977546,9.28774961,1.547958763,6.36072523,1.2274473,4.68549048,14.02891,0.920988,487.6479335,9436.605336,106.946,2.548732,980.44633,3.722768,11.70525511,1966.442226,294.672,236.205905,0.91192,640.0444129,,125.6213193,46.10205701,,,,,,,,,,1326.100183,10.05395319,,209.4034363,114.58224,5.43293,,12.34385,,42.07781195,569.1042757,,27.1735,219.212,116.1930359,27.0570218,,37.05327,,,,,,,,189.489179,72.050443,18.104421,9.73681316,87.5597,,8.1198205,1650.493443
Bolivia,428,0.219588608,20.7559962,23.42520753,8.323328044,34.6889994,3.49074095,0.147606,3.00945507,,22.13511589,30.37723179,0.304009346,0.89656357,,0.35965491,1.48942363,,,17.3566052,0.01,,,0.02450509,,,,0.000845402,0.02486858,,,,,,,13.302074,2.395981,,,0.0073,,,10.98869583,,19.354441,,0.075715471,,4.257299,0.0403374,0.414875,67.2018984,,,362.45725,,,,,75.63823029,,,,0.4552,0.136317,,8.81593,,0.84207421,2.14861298,,0.052792,,0.0118594,0.9883292,,,5.654293,,0.09037,,,,,,,,,1.63649,8.08845,,0.43898235
