,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,552,566,576,611,613,701,732,742,764,801,811,820,901,905,906,909,913,914,915,918,921,923,928,932,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1624,1625,1626,1627,1628
recipient_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Kuwait,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,C&A Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,David & Lucile Packard Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust
Brazil,431,2.24418341,1.1524574,0.82964833,271.6626339,182.7525398,3.70012954,0.224406122,54.79629258,3.256402374,2.8706723,2.925301675,28.57207503,0.44696746,,0.23254872,0.6999681,0.0221035,0.0135278,5.00474522,0.38,,0.00148016,0.00342092,,,,0.02918572,0.04238881,0.00792632,,,,,,1.272887594,101.12649,,,0.194,,,48.11622739,,541.234898,0.0249702,0.301907961,13.35236032,0.2906072,755.9828853,,,1782.275692,,,,306.1403558,,,0.625539035,,2.4344,0.479777,,,,0.15,2.503,,,2.20709,0.6745,1.06594829,0.037,,18.9173,,6.800871,,,,,503.7838086,,,,,,,,1.2947162,,,,0.25,,,3.2240924,,5.663587,,,0.244008456,10.2840649,,0.12,,0.0966667,,,0.432665,1.685,,15.066749,13.6919432,0.524581
Burkina Faso,287,5.84131457,15.3901994,40.28814363,108.8677682,41.0103518,10.58952875,,2.7198573,0.00164919,15.52079907,34.61514613,2.2509192,0.65000204,,0.34618278,25.71697481,,,3.802008804,1.14,,,,,,,0.01133068,,0.0157523,,,,,,31.7123713,72.61036,,0.34644,0.687,,,19.37414357,,0.71582,0.0361117,9.080488234,4.1739317,,,207.271204,,,21.9664,45.13898,,187.5416211,,,2.04157811,,0.27143,0.490204,,46.72119,6.19777,5.07364448,15.661,,2.41549,,0.4556,2.01790346,27.08966,,11.14194,,4.937,,,,,,,,,,20.61166,38.095076,,17.26915421,3.19468,,,,2.99595,0.601478,,,,,,0.39336362,,,0.753225,,,,,,1.2311463,,,,
Burundi,228,0.03485733,36.38046313,1.41194,5.918787641,32.866338,2.17285974,30.96580448,4.35280425,0.00329726,4.2990512,9.288772515,6.3296522,0.58621834,,1.602006008,0.55905708,,,0.57800503,1.28,0.0743998,,,0.00487,,,0.000433553,,,,,,0.038388,,6.539301608,64.0894,,,0.125,,,2.58479735,,0.189202,0.0344509,2.240154516,1.821388,,,49.28613695,,,,21.11632,,44.19370396,,2.34942466,1.2594743,,0.2307,0.100259,,21.51712,,8.71819356,12.057,,1.22675,12.3013,0.4225,2.06646929,0.22213,,17.624377,,,,,,,,3.50001,,,,6.24145,59.86054,,1.908983172,,,,,1.12815,,,,,,,,,,,,0.425,,,,,0.09,,,
Cabo Verde,230,0.00949041,0.00357795,0.842346,27.52878035,0.11964234,0.26837065,,,26.94741942,,0.01116787,0.3707615,,,,10.15591541,0.00498253,,1.4054437,,0.06583246,,0.06337073,,,,,0.00506417,0.00222074,,,,,,0.1703438,24.89672,2.517814,,,,,8.12486715,,,0.0159792,0.025626441,0.646946,,0.7037129,1.01692645,,,33.23737,0.88175,,33.92052972,,,0.97121539,,0.34437,,,,,0.44970103,1.701,,,,,0.5,,,2.024691,,,,,,,,,,,,,1.191984,,,,,,,,,,6.7248835,,,,,,,,,,,,,,,,,
Cambodia,728,10.13039921,4.53135223,6.42178,105.4504979,42.29748739,0.56421386,,17.17781468,,34.71286385,19.29080436,5.146815934,1.60829761,,0.67303089,0.116881,,0.0101317,0.219158878,0.45,,,1.5358713,0.03322,,,0.0722663,0.005681,0.001042515,,,,0.365019,1.42189,2.36865327,196.43399,,,0.169,,,188.9248635,,91.581666,9.60935,58.9619167,1.6265353,4.7648147,,15.7673071,,,,,141.9948015,51.43366569,,,2.5117724,,0.449,0.591557,,24.95519,,3.74547933,5.385,,0.70149,,0.4343,1.75185593,,,9.24039,,12.793138,,,,,,,,,,10.90242,32.58056,1.151336,1.36615495,0.563634,,,,,1.49373,,,,0.2808,,0.09278263,,,0.45,0.025,2.112,,,,,0.246518,,,
Cameroon,229,2.09737291,3.4754937,0.0652852,315.7935107,104.7137214,3.542235,,1.6934573,0.0428768,5.1561761,3.476342182,2.65547937,0.3175499,,0.59535802,0.499192,,,5.954488532,2.64,,,,,,,0.0550613,,0.0570781,,,,,,9.58049181,88.65307,2.48848,0.30191,0.229,,,29.1889785,,25.56777,0.0227578,0.869821104,1.003527,0.058974,223.863844,135.3615393,,,9.07112,61.63652,,86.1361785,,,1.62443002,,1.61134,0.387408,,33.29194,287.011,1.36830779,12.155,,2.92814,,0.7771,3.09144181,16.19548,,7.51687,,,,,,,,10.005407,,,,11.79807,77.44638,,1.413041372,,,,,2.063,2.25454,,,,,,0.0399932,,,0.2,0.015,,,,,,0.3380022,,,
Central African Republic,231,0.0227806,5.57195316,4.39409,33.20476999,48.24995448,5.707031562,6.137678,9.551439,0.01244956,13.603763,10.2934847,17.6013428,0.7141434,,7.74618392,2.45606886,0.00595198,,1.40526775,0.75,,,0.2268143,,,,0.000867107,0.002,0.007061,,,,,,11.74061194,61.88312,,,0.031,,,10.89794557,,1.561807,,0.04732929,0.926233,,,9.70848027,,,,29.46096,,94.1245141,,6.003069,3.11793019,,0.45341,0.205805,,,55.6136,4.88310236,8.775,,7.38993,,0.6966,1.43587273,,,2.1164056,,,,,,,,15.995656,,,,8.11009,29.1832,,0.006896372,1.65596,,,,,,,,,,,0.0136827,,,,,,,,,,0.1662559,,,
"Central Asia, regional",619,4.63734795,,,0.00743998,37.8631182,1.127268,,1.803073,,1.607856,7.508519741,6.677995,0.327837,,,,,,,0.617413,,,,,,0.11,,,,,0.35091902,0.0281817,,,0.102727,28.73784,,,,0.33498,0.84889437,8.134014686,,1.186203,,,,,,3.228856,,,,,,29.88083961,,,,,0.17189,,0.34906,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18476,,,,,,,,0.825,,,,,,,0.5625,,,,,,,,,
Chad,232,0.0165708,0.2007949,1.37614,95.57243685,26.54785887,12.74713415,4.28362,0.241809,,5.564773,26.56720422,0.0272912,,,1.2399957,,,,0.630184536,2.48,,,,,,,0.000433553,,0.00562716,,,,,,11.0581444,35.21692,,0.29195,2.138,,,11.21372061,,0.738506,0.0138995,0.00383171,0.11513696,,,87.9755322,,,,79.23199,,131.4642273,,,1.73529892,,0.23841,0.213347,,3.95705,48.5977,3.91758257,15.459,,1.48119,,0.5293,2.88403385,19.44909,,5.421727,,,,,,,,14.556802,,,,5.98392,27.43756,,3.870852372,3.37842,,,,,,,,,,,,,,,,,,,,,,,,
Chile,434,0.3994522,0.19837578,4.731649,9.813677005,60.90838601,0.16040022,,,0.11902833,0.06669,0.222147919,2.951017343,,,0.0176254,0.1141059,0.00498253,,0.963894388,1.02,,0.03772697,0.128285,,,,0.00173421,0.00846718,0.00866953,,,0.00139781,,,3.143920886,1.37669,,,5.065,,,3.689091216,,3.121692,0.0381293,0.265062618,1.8805427,0.131448,0,,,225.067432,,,,5.11547708,,,0.45522621,,1.22076,0.472833,,,,0.19915233,0.983,,,,0.0116,0.14777456,,,,,0.339112,,,,,160.86603,,,,,,,,,,,,0.67866,,,0.30549,,,,,,0.0386005,,,1.53125226,,,,,0.25,,,0.572,
China (People's Republic of),730,5.73008832,0.4777194,15.42801106,190.8231273,710.3397379,0.41050762,2.36135049,10.1566245,0.31409369,2.5827012,8.450122933,58.52505091,0.659844939,,0.00901815,0.274002414,0.002998531,,2.397900797,3.4,0.000315635,0.00056375,,0.09392,,,2.66989431,0.2081335,0.0559348,,0.0265584,0.04196826,,,3.24530013,38.86782,22.40066,,,,,10.05205412,,2624.038311,0.189975,15.20298217,19.41715465,0.556345,2074.484906,0,,,,,1590.547755,108.9890491,,,4.41287137,,2.19933,0.890508,,30.44925,,1.29532753,7.963,,,0.22266,0.9413,1.90191858,,,35.353289,,,,,,,,,,0,,,,0.575376,29.9601855,,,,0.45915,,,,0.126942,0.800772,0.3660927,1.5793513,,13.020936,,,7.49104286,0.558,,,,17.1918328,0.7968604,,5.7346668,0.1327994
Colombia,437,1.154226926,1.77699364,2.2912662,29.2659715,171.8236108,5.179498904,3.57752489,62.56291992,1.004743709,35.51756183,38.61851394,31.04075674,10.4628261,,2.64174659,0.88633093,,,31.89126881,2.62,,0.02278275,0.1736096,,,,0.171732,0.14414905,0.0194024,,,0.0135272,,,45.06769889,307.56738,,,8.309,,,18.07448143,,12.009801,0.134276,1.412449462,10.30465013,1.12050582,201.3913524,,,995.067891,,,,72.21642702,,1.06153,1.176429945,,0.70363,0.523368,,1.08999,,0.37984255,1.147,,0.00328,3.82107,0.078,0.72328906,,,2.86595,,4.808523,,,,,29.92279475,,,,,,1.760913,1.0397,1.687908,,,,0.531163,,,0.511072,,,,,0.4287789,0.0386005,,,0.0285714,0.75875,,,1.55,,0.0215,1.8,4.7448712,
Comoros,233,,0.111777,,21.4155744,,,,,0.00329726,,,0.04359384,,,,,,,,1.11,,,0.00889926,,,,0.000433553,,,,,,,,0.158499,1.43379,,0.11385,1.203,,,2.117532878,,0.079324,0.0309318,0.22985664,4.30391497,,,16.79098537,,,,2.62519,,9.02868514,1.77023,,0.97824347,,0.25067,,,,,2.09883113,1.186,,,,,0.79940187,0.7589,,0.2998476,,,,,,,,,,,,0.03471,1.993337,,0.00656797,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,234,0.0369734,0.0159046,,55.71191674,0.53574,0.879977801,0.0216442,0.2597144,0.15254531,,0.26020813,2.384577,,0.112335,,0.143727,0.00995378,,0.995109444,0.68,,,,,,,0.00390198,0.0254015,0.00834975,,,,1,,0.24090981,2.4312,,,0.427,,,3.171581542,,0.103555,0.0666659,,0.838139,,4.806711,20.69226153,,,28.6604,7.9737,,13.94495477,,,0.55273534,,0.00439,0.0250141,,,,0.82332462,2.391,,0.31208,6.76415,0.524,0.7257202,,,3.134956,,,,,,,,4.371553,,,,1.7065,10.13797,,0.26082897,,,,,,,,,,,,0.057659,,,,,0,,,,,0.3396899,,,
Cook Islands,831,,,,0,0.05561881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50914789,,0.010781,0.00541,2.360655804,4.308869,13.90081387,,,,,,,3.49645,2.0487006,,,0.17479811,,,,,,,0.0693772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,336,0.09978772,0.035070435,0.0566512,25.65443741,64.14882455,0.01039342,1.223586,,,0.0711361,0.140971906,0.8183439,,,,,,,0.958628413,0.04,,,0.01862028,,,,0.00130066,,,,,0.00225454,,,0.67615168,9.91552,,,10.025,,,55.74361769,,1.841074,0.0144807,1.067499998,5.4699494,0.081711,86.217,,,168.927971,,,,15.7957627,,,0.533773035,,0.56279,0.566498,,17.5,,0.4102125,0.932,,,,0.024,0.36592852,,,,,,,,,,115.848224,,,,,,1.15591,0.104176,0.349125,,,,,,,,,,,,,,,,,,,,,,0,,0.44,
Côte d'Ivoire,247,0.02928751,0.14285091,0.0954541,339.9145204,58.19722484,3.201924268,,0.2981314,0.03348321,1.0965604,1.065953376,0.493672768,0.2431241,,0.0157536,0.072316646,,,120.1262412,1.41,,,1.15456,,,,0.000867107,0.05186149,0.0454812,,,,,,3.926631436,156.71282,2.4199442,,1.041,,,38.42847548,,6.303213,,0.022530417,0.03285166,,,230.9779992,,,62.36855,96.81021,,102.3064322,,3.306769208,1.519214826,,0.36334,0.226513,,2.6949,89.4642,2.70449925,10.704,,3.19774,,0.8542,2.64100289,45.00356,,7.89689,,0,,,,,,,,,,39.29187,68.3759,,2.10155978,,,,,4.65618,4.804695,,,,,,,,,,,0,,,,,0.16756,,,0.0346536
Cuba,338,10.21237666,9.84410786,2.748307756,101.8154407,2.89461158,96.21311462,0.2041747,3.09689051,0.19512113,1.859896311,14.61048224,5.60267673,,,,0.1529661,0.00498253,,7.017402635,0.06,,,0.33789306,0.03453,,,,0.02218359,0.0103533,,,,353.83,,9.67802737,9.4388,13.1076,,1.024,,,35.71792469,,2.670018,0.0141916,0.0342478,3.1727075,,,,,,,,,11.1713603,,,0.31163447,,0.01257,0.341506,,13.64606,,0.98446277,1.084,,0.14707,,0.0005,0.35047238,,,1.5089488,,,,,,,,7.999466,,,,0.0785,5.05258,,,,,,,,,,,,,,,,,,,0.29138,,,,,,,2.0928712,
Democratic People's Republic of Korea,740,0.0379616,,0.0479003,1.58179479,2.72175497,0.21289506,0.0280431,1.20904,,2.4536558,8.273440716,0.0515787,0.725625,,0.5402278,,,,,,,,,,,,,0.0211679,0.0193182,,,,57.7127,,1.551797,,5.25841,,,,,,,,0.239628,,,,,,,,,,,6.2951854,,,1.94394288,,,,,,,4.256563,4.03,,1.85815,,,0.75334933,,,,,,,,,,,12.34776,,,,11.23486,9.51271,,0.00656797,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,235,0.28514382,113.8591977,1.13375,34.88786155,141.1527444,11.17594975,22.28366212,28.8573327,0.3127104,67.2515869,23.10707659,214.3167543,1.50781262,,10.87801078,3.526523062,0.1265043,0.0281817,13.99180514,2.45,,,0.0210397,,,,0.000867107,0.0254015,0.00873007,,,,,,37.85369852,445.65993,,,0.005,,,40.63266342,,14.612475,0.0501556,0.032515947,1.904034,,,340.7390025,,,95.0502,109.11632,,182.7205724,,0.983975562,3.47560583,,0.68727,0.340525,,2.37153,,14.21677855,66.113,,20.95633,27.5087,1.3949,7.17128443,0.06061,,0.749804,,12.531682,,,,,,26.56455,,,,92.8455,225.58939,,22.73961427,0.563634,,,,0.93111,0.965611,,,,,,0.90552567,,,,2.165047,0,,,,,1.564734,,,
Djibouti,274,0.00997633,,0.161017,44.10756714,0.53542226,0.145157352,,,,0.929273,,0.0501182,,,,0.22996,,,0,3.47,,,,,,,,,,,,,,,1.43543764,11.61506,17.682873,1.05093,0.218,0.1176,,16.92471174,,0.194546,,0.0333972,2.1246519,,,14.2782393,,,,4.37204,,14.68690622,11.827915,,0.88834198,,0.08356,0.0525533,,16.98792,,0.59946307,1.253,,1.44208,,0.3192,0.54624757,3.38236,,1.838664,,,,,,,,,,,,1.19737,5.31337,,0.398526372,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,378,0.0150302,0.190782,0.0468053,0.32882421,0.09419047,,,0.120904,0.0507271,,0.3467574,0.101382438,,,0.16909,,,0.016909,,,,,,,,,,,0.000875712,,,0.0112727,,,0.90748787,0.50863,,,1.75,,,0.162965754,,0.012616,,0.52758125,0.2257302,0.143527,,8.115769,6.5596,,,,,9.44034104,,,0.15417597,,0.08344,,,,,0.17100711,,,,,0.3488,,,,,,0.247923,,,,,,3.011838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,340,0.07220356,0.45441557,0.025902,37.22447838,2.64495916,0.06159063,,0.0635893,,0.024336,0.07095158,0.3641062,0.257965661,,0.0355866,,,,6.468546037,0.07,,,,,,,,0.00846718,,,,,,,0.91526121,68.18279,,,0.534,,,6.819850682,,9.356091,0.0160942,0.556425307,0.6456643,,28.04486302,,,118.792294,,,,40.95685234,,,0.701084265,,0.30094,0.00884906,,,,0.43631841,1.124,,,,,0.4663187,,,2.92643,,,,,,,4.1,,,,,,7.98342,,,,,,,,,,,,,,,,,,,0.08,,,,,0.0666934,,,
Ecuador,440,0.40799671,8.020714,0.194227,40.93587645,31.39544392,2.83471131,,1.75673822,0.002530714,0.1197875,2.55167854,0.37345778,0.1126154,,,0.1366615,,0.0114102,11.47912709,0.08,,,0.00855217,0.00122,,,0.590649,0.00423359,0.00837614,,,,,,1.362700195,19.19249,,,0.035,,,11.77559966,,36.698299,0.0474449,0.01846118,4.46619482,0.179764,175.3134569,,,352.746559,,,,65.00979919,,,0.80554945,,0.70291,0.560546,,,,0.34800179,0.846,,0.49567,11.1829,0.0022,0.6201325,,,3.47253,,,,,,,62.06849,,,,,,1.31825,,0.409922,,,,,,,,,,,,,,,,,0.94775,,,,,0,0.5,0.07,
Egypt,142,2.77984411,0.26392074,5.034904958,290.225994,201.3721483,16.79463085,4.35769294,4.184722,0.1168628,2.19265781,9.806557558,29.81823194,0.90511986,0.0765404,0.0856724,0.0529797,0.28605558,,1.666628586,3.53,0.0126254,,0.08215635,,,,0.2024322,0.02880022,0.0548896,,,,0.0257383,,7.076264896,96.60163,108.5726327,,146.039,,,139.9688043,,2.785923,0.0539669,0.198858187,4.11523816,0.1826065,1658.62284,0,,,560.4672,,,291.6648466,118.2891244,,1.525747016,,1.39793,0.371908,,120.33119,,0.53560543,2.411,,2.2753,5.22928,0.0837,1.0946927,223.10537,,31.257847,496.088811,0.704286,,,,,,,,0,,,0.273665,,0.597896372,,,,0.091925,1.605,,,0.759711,,,,,,,,,0.05,,,,,,,0.1,
El Salvador,342,0.65855322,1.8743113,0.0683147,3.6703166,65.8179933,6.78410915,0.1043822,0.718306,,1.38563797,2.493794897,0.32551261,,,0.1706207,4.8351954,0.00995378,,27.29137359,0.02,,,0.0078233,,,,,0.0124,,,,,,,1.235842213,82.99732,,,,,,9.184094466,,7.393212,0.0812999,2.196538919,0.9798665,,50.65018133,,,76.302609,,,,17.79588376,,,0.699038425,,0.59208,0.298692,,1.83238,,0.3789833,1.055,,0.71878,,0.1214,0.7055907,,,3.28252,,,,,,,23.89826,,,,,,10.785001,,0.4422249,,,,,,,,,,,,,,,,,,,,,,0,,1.192,
Equatorial Guinea,245,0.0103096,,,3.21614648,0.0278615,0.0187284,,,0.0244922,,,,,,,,,,1.51394122,,,,,,,,0.000433553,,,,,,,,0.1832982,2.22104,,,0.012,,,0.14523575,,,,0.0181853,0.453899,,,0,,,8.95126,,,0.262529,,,0.6939946,,0.65067,,,,,0.320909,1.166,,,,0.2242,0.50722545,,,,,,,,,,,,,,,,,,0.0553,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,271,0.00249465,,0.00405078,0.44781461,2.25745128,1.31381812,,0.52202007,0.006910161,0.072657,3.36972393,0.8093023,0.1302206,,1.39249772,,,0.198452,2.62030674,0.54,,,,,,,0.00173421,,,,,,,,0.8150377,0.12971,,,16.52,,,3.49944951,,0.005975,0.112716,0.003410222,0.908042,,,,,,,1.86293,,5.41288942,,,1.09202278,,0.5109,0.00583925,,,,5.8648898,2.982,,,,0.0479,1.04886535,0.16,,2.25777,,,,,,,,,,,,3.78011,21.39573,,0.006896372,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,280,0.01572618,0.0018893,0.433518,0.138056815,0.57130259,0.2174121,,0.4607959,0.1467861,0.2647364,0.0676114,0.39152212,0.152181,,0.03386362,,,,,0.274682,,,,,,,0.000502362,,,,,,,,0.2531433,69.71298,2.51452,,1.892,,,3.735986808,,0.157756,0.0294643,6.358180901,1.6447,0.048316,13.732785,,,,20.1035,,,38.61681139,,,0.92819919,,0.53943,,,0.52159,,0.43639698,1.183,,1.01623,,0.6722,0.70430123,,,2.327083,,,,,,,,,,,,,22.93053,,0.919914,,,,,,,,,,,,0.04842237,,,,,,,,,,0.0166,,,
Ethiopia,238,11.36890889,3.734161387,39.53514562,60.7026554,155.1436847,37.53585997,82.3743976,60.19182495,0.03624173,79.9500118,16.80513661,422.4116034,22.56031044,0.484861,40.62388348,0.719900564,0.04661929,0.0209586,8.249789418,5.83,,,3.79699697,0.21273,,,0.0739916,8.6213392,,0.0236726,,,,,89.31634903,1030.72593,8.376294,0.52454,1.182,,,38.90485228,,46.953631,0.0534358,3.648431902,5.02189016,0.73753,,1109.879843,,,162.88031,247.53592,,218.2355449,,,3.56828151,,0.37011,0.670375,,7.00714,,10.12711157,43.315,,12.72909,,0.7749,4.79651676,0.23226,,59.92135,,3.1776,4.354691,,,,,28.51268,,,,64.41665,182.0795,1.44775,84.89300084,,,,,8.68039,,,,0.246706,0.685,0.101493,2.55374463,12.88729592,,3.565,8.698852,,,0.05,,,,,,0.125066
"Europe, regional",89,36.06959609,0.0396235,2.295382608,3.11503995,131.775375,10.15081435,17.86833727,14.70772572,0.0133886,36.31824647,12.18614359,70.53615795,2.2116051,,0.1766666,0.0969609,,,12.10561829,153.997,0.436261694,0.0409186,1.52245217,,,0.21,,0.19846213,0.1105977,1.32454037,,2.86669134,,,25.86381734,132.38438,,,,,,0.261795162,,0.8,,1.47906399,,,,,,,,,,518.451583,,,32.10381261,,3.93209,6.26057,9.54064,,,2.14177456,,,,,2.7167,,,,,,,,,,,,,0.379213,,,,5.316297,,2.10660568,,,,0.087522,,,,6.79973085,1.790581,,,,,,,,,,,,,0.067132,,,0.0634664
"Far East Asia, regional",789,1.9339,1.50835477,0.005170415,0.0326908,13.85098634,,1.397362,0.5725624,,1.6192821,8.398626072,0.521470901,0.2836103,,,1.595508,,,0.00676361,0.949743,,,,,,,,1.0987471,,,,,,,1.83055296,177.00784,,,,,,5.835849104,,,,8.98557233,,1.99729921,,1.954852,,,,,,21.32858912,,,20.3553197,,2.55984,,,,,0.00497704,2.364,,,,,,,,,,,,,,,,,,,,,36.118786,,6.679002,,,,,,,,,7,,0.112727,,3.0453505,,,0.4979166,1.098333,0.32,,,1.875,1.0268265,,0.5434,0.6739151
Fiji,832,0.0701601,,,0.595614675,2.17100488,1.12727,,,,0.855687,0.710876,1.4208518,,,,,,,,,,,,,,,0.000433553,,,0.112727,,,0.0131346,,0.0148202,2.49276,,,,,,19.55942484,,3.717483,0.133571,48.63618836,10.65719837,16.77349039,3.384584,,,,,,54.7970075,33.51803614,,,1.24762152,,0.33868,0.167129,,,,1.64144628,,,,,0.1521,,0.09847,,0.944403,,,0.5991268,,,,,,,,,,0.470925,0.708714,0.17892,,,,,,,,,,,,,,,,1.813955,0.424,,,,,,,,
Gabon,239,0.143654,0,,112.9717824,0.7463114,0.00519332,,0.0785564,,,0.004473441,0.0289894,,,0.00751512,,,,0.098310166,0.34,,,,,,,0.00173421,,,,,,,,0.2868259,5.28709,,,,,,3.57638705,,0.102951,0.0089556,,0.250954,,247.2088953,,,,567.87125,,,11.77389325,,,1.35230991,,0.22923,0.16953,,,,0.3981322,1.089,,,,0.4548,0.47569543,,,0.151508,,,,,,,,,,,,,0.245419,,,,,,,,,,,,,,,,,,,,,,,,0.0105,,,
Gambia,240,0.10377477,0.070266,0.220394,0.28930377,1.36225338,0.01934535,,0.1329686,0.0247368,0.568601,0.0505413,19.97656018,0.251418463,,0.11036942,,,,3.24194556,2.1,,0.00568716,0.0127102,,,,0.02054096,,,,,,,,0.052065758,18.68877,1.9661099,0.11385,1.704,,,0.41191585,,0.017393,0.0925504,0.412414659,3.4969832,0.0142106,,85.7788652,,,,13.48608,,49.9055944,,,0.82644111,,0.31965,,,21.33944,16.1704,3.25166495,1.398,,0.48628,,0.0708,0.83788258,21.02226,,8.794183,,,,,,,,,,,,3.67562,19.897942,,0.659310472,,,,,,,,,,,,,,,,,,,,,,,,0.125,
Georgia,612,8.66751212,0.02064709,5.5998442,8.09777501,48.71169646,0.06866413,0.67163227,4.32965108,0.159776,14.3682559,7.318993312,1.07491146,1.460164467,0.2750422,0.158237,0.0529797,0.0177545,,3.779529767,5.86,,,3.20635225,0.64571,,0.05,0.505009463,1.77650891,0.0031799,1.01003287,0.20934542,0.443726822,,,0.01131098,109.54738,0.0190539,,,,,16.63092233,,0.294967,0.0197549,,1.2418678,,184.0474572,9.067311,,,,,111.7804403,269.0668351,,,0.54532307,,0.00288,0.594206,,6.00327,,0.41025327,1.027,,,,,0.51137295,,,2.20906,156.4016594,,,1.3176361,,,,,,9.26702,,0.42206,10.22153,,,,,,,,4.29467,,,0.225,,,,,,,,,,,,0.0296667,,,,
Ghana,241,11.84053561,5.1346124,23.45913536,40.62648163,57.91653444,1.750519887,19.73974255,2.8890088,0.00824597,1.5791189,19.33542332,72.84280123,1.04101471,,0.3174569,0.00256735,0.00980724,,0.57549235,4.49,,,0.08871797,,,,0.26517231,0.00506417,0.00395317,0.0135272,,,,0.111015,43.34874642,233.27836,,0.11385,0.619,,,51.20225709,,47.989931,0.0706893,2.409755461,1.4615164,0.3758699,,380.1433847,,,78.59757,135.71239,,49.02605865,,,1.65127,,0.49071,0.455033,,19.35486,92.0931,2.91645672,9.498,,0.05073,,0.7433,1.56253192,0.08491,,5.5434816,,6.45932,,,,,,,,,,16.50072,93.530126,,13.73850238,,,0.547257,,29.169254,,,,,,,1.01832704,4.137963,,2.58425,,,,,0.18,0.9958334,0.085,,1.2256,
Grenada,381,,,,0.22920157,1.18304685,,,,,,,0.105539603,,,,,,,,,,,,,,,,,,,,,,,0.11493961,0.0288,1.153222,,,,,0.212427632,,0.086231,0.0202298,0.092566517,1.0149343,0.01776323,0.0195,9.315067,3.17707,,,,,1.5421,,,0.033749785,,0.09642,,,6.85551,2.77305,0.05862968,,,,,,,,,0.285523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,347,5.060613208,2.3159625,1.35766,2.99930741,21.19660212,1.22179174,0.5082538,5.74868992,,28.30016394,3.54544863,1.34908105,0.1965533,,1.4577916,0.4872054,,0.000972404,18.90863646,0.09,,,0.0117331,,,,0.000867107,,,,,,,,9.363953288,212.61776,0.100775,,,,,7.920453532,,3.41554,0.0088111,0.805701966,7.175561,0.083132,-0.103105,,,64.029845,,,,42.74147418,,2.396774,0.94396755,,0.55639,0.403292,,0.1,,0.33353995,1.753,,3.12584,,0.7473,1.0911169,,,5.70603,,,,,,,170.91597,,,,,,9.856095,,0.6730219,,,,,,,,,2.34,,,,,,,0.025,,,,,,0,,1.5485,
