,,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,561,566,576,611,613,701,732,742,764,801,811,820,901,903,905,906,909,913,914,915,918,921,923,928,932,940,944,951,953,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1037,1038,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,(blank)
RecipientName,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Finance Corporation,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,OPEC Fund for International Development,Arab Bank for Economic Development in Africa,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,International Investment Bank,UN Institute for Disarmament Research,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,IKEA Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,Laudes Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",Rockefeller Foundation,William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust,World Diabetes Foundation,McKnight Foundation,Citi Foundation,LEGO Foundation,Norwegian Postcode Lottery,BBVA Microfinance Foundation,Jacobs Foundation,Arcadia Fund,Margaret A. Cargill Foundation,La Caixa Banking Foundation,
Bosnia and Herzegovina,64,20.47187942,0.05075899,0.1130804,11.03027866,44.06234751,2.014593343,0.1167176,5.9907605,8.95556E-05,24.66152345,22.82415612,8.4741598,2.0914822,,,0.2220337,,0.013588856,,0.7976056,59.8462017,5.647619421,13.44740915,4.453937129,0.51886,,0.27,0.5787781,0.080367572,0.01309347,0.000279861,,0.002900001,,,0.07654102,45.778775,0.03315,1.82228,0.03766,6.757565,0.015866,,,24.0173328,,0.084754,0.0234351,0.01429008,0.41224009,,50.086468,,24.705778,,,,,,204.6569012,,1.953307,0.26642928,0.10671147,0.63326,0.564522,7.191915,,117.718,0.34803,6.092,,,0.7494813,,1.046272033,,10.62061,3.870405,143.53729,,,14.62442744,,3.15285,,,,,0.06436806,,,,,,,,,,,,2.014996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,227,,,0.38025,0.17258767,1.52760977,0.0129167,,0.0486441,0.0341979,0.110624306,,2.5363805,0.1088541,,0.17586,,,,0.00108138,,0.0453778,,,0.0109022,,,,0.000409461,0.0125016,,,,,,,0.23130536,44.651147,0.03875,0,,0.106667,0.0272257,,,9.410611045,,1.134224,,0.93385931,2.7224399,0.1054798,8.35203,,0,,,6.0223845,0,,5.178591167,,,0.93319271,0.2411139,0.17243,0.541712,3.729102,,,0.50045,2.2,,,0.9894347,0.60989581,0.784553039,,,0,,,,,,0.209714,,,,,,,,,7.495357,,0.8198755,,,,,,,,,,,,,,,,,,,,,,,0.12195,,0.180517,0.409712,,,,,,,,,,,
Brazil,431,2.071848382,1.2329831,1.0944824,141.0556192,246.2404157,11.31273008,0.32207786,14.59536774,4.234287887,1.42117005,3.554398175,44.46226939,0.34521039,,0.43569897,1.3362179,,,0.000231725,4.481430507,0.0260447,,,0.05077596,,,,3.0702803,0.72268525,0.0160828,,,0.006407701,0.231818,,2.330979965,39.08321,3.07549,,0.0059835,0.04,0.46417851,,,61.78382429,,401.780391,,0.24169956,11.40163632,0.162914,804.8182316,,,,1037.967971,,,,12.48208856,,,1.69726186,0.016481,2.35591,1.083921,,,,0.35948,15.402,,,4.33358,0.56268853,2.368572909,,,19.2899,,0.770216,,,,0.50255,,,,,,,,,,,1.3936703,1.11944,,,0.03,,,2.813522,2.33450314,,8.094293,,6.06922238,0.326673045,2.114261,,,0.11,,,2.934553,,0.625,,13.187179,7.50058744,2.1993133,,,0.735,,,,0.1118043,,1.375,,
Burkina Faso,287,7.95572415,18.1397893,37.57176259,121.2879047,77.72867829,15.72931545,2.29443,5.923546,0.000865331,48.97903779,38.27411264,1.911508638,0.46102,0.00490608,0.66252033,26.13776063,,,0.000695175,5.490268615,0.8851696,,,0.2394177,,,,0.000818922,,0.0747914,,,,,,39.71354373,101.260354,0.09459,2.31616,3.277328,4.917667,0.4136636,,,26.78162567,,0.583302,0.00671095,0.0473046,3.94385674,,,,305.3491623,,,0.0411279,41.8828084,,151.4451832,,4.707783,1.60337313,0.27869332,0.69644,0.489957,133.7378424,,,6.12393,51.145,,7.09519,7.66993,0.67684754,3.104027527,73.362377,,20.33442,,,,,,,,10.0105321,,,,,,36.5075628,49.73512,0.1323802,33.3739218,1.11944,,,,1.0259818,3.966095,,,,,,,0.035689315,,,0.97495,,,,,1.38239,0.3438538,,,0.01,5.528152,0.872246,0.4966667,,,,,,,0.297224,,
Burundi,228,0.03977605,28.5118638,2.15033,7.565572669,37.39039974,1.592400481,30.81806048,4.1806094,,2.1561533,5.85719003,6.402036,0.81425274,,2.145845,0.27262998,0.0111944,,0.00143289,1.554103078,0.6162558,,,,0.00506,,,0.000818922,0.01573442,,,,,,,2.89853663,63.687963,0.00252,0.816989,,2.120569,0.29750422,0.03,,11.59757899,,0.627339,0.0949918,0.30602676,,,,,126.5015409,,,,31.723072,,110.5183727,,4.73521,1.223943177,0.4802564,0.5531,0.1587249,5.455704,,,9.45148,36.169,,1.14656,10.576984,0.46968201,2.353635416,,,18.53395,,,,,,0.239,,2.384881,,,,,,18.5327307,49.2680575,,0.8580967,,,,,,,,,,,,,0.0273463,,,,0.01255,,,,0.0214286,,0.07,,,,,,,,,,,,,,
Cabo Verde,230,0.010265,5.46588,0.0299481,4.46340318,0.90715447,2.05563383,,,22.48668948,,0.02046788,0.3225531,,,,17.13285464,,,,1.85493608,,0.00861972,,0.09141524,,,,0.19138941,0.04568834,,,,,,,0.26407395,1.235828,0.00252,0.972342,,,,,,9.77272759,,,,0.02940808,0.749519,,0.025,,66.673225,,,35.1480071,0.0810683,,33.584771,,,0.80840799,0.64255886,0.57812,,2.137541,,,0.75567,1.671,,,,,0.931968,,,2.355273,,,,,,,,,,,,,,,0.936419,,,,,,,,,,,0.4614358,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,728,10.06484446,4.0624015,4.31709,221.972145,68.99208048,0.48216906,,13.44828965,,24.37018629,16.49913522,3.94785746,11.44423011,,0.7322696,0.824859101,,,0.0139403,0.1164623,0.1357437,,,1.9181465,0.02667,,,0.28771524,0.024286,,,,0.000129856,0.231818,,2.93571126,90.202486,0.02367,,,1.50667,0.1417532,,,176.4288498,,78.261786,11.0697,45.4228171,0.5912673,7.346846,,,61.7337538,,,,,203.3627985,65.8079374,,,3.04516634,0.54407259,1.21144,0.353677,16.42559,,,4.38632,22.742,,0.50895,,0.58356921,2.27809913,,,15.40153,,11.601992,0.220311,,,2.508503,,,,,,,,19.6946469,24.9703,0.4774664,1.5138405,,,0.1276162,,,4.690255,,,,,0.719127,0.91063812,0.31904,,,,0.1,,,,,0.035,,,0.0073895,0.335782,,0.0733333,,,,,,,2.283333,,
Cameroon,229,1.21703636,2.7988939,0.870491,419.4340112,119.3949669,8.558097089,,2.9826887,0.244444608,9.39243073,7.596014081,17.12809264,0.1002978,,1.17277996,0.7412109,,0.00119027,0.000554125,3.169087344,1.4545982,,,0.13322767,,,,0.0184257,0.200026,0.0796749,,,0.00351237,,,7.616623211,91.562369,0.07588,0.552625,,3.730417,0.3563932,,,35.11958819,,13.968518,0.0109678,0.285505005,1.36495,0.0284672,5.246911,,320.7045746,,,91.0061,32.4135745,,108.7904646,,0.4494,1.2088308,0.6209706,1.63672,0.392509,71.461259,,74.8585,3.70306,37.8,,6.34686,15.11562938,1.02617952,3.979658073,88.70611,,7.28658,,,,,,,,16.29768,,,,,,13.346781,72.78008,,2.6285413,,,,,1.63241,,,,,,,,0.00299603,,,,,,,,0.0214286,,0.410109,,,,,,0.35,,,,,,,0.0335833,
"Caribbean & Central America, regional",389,37.5747658,0.0024124,,1.70274804,112.6755266,4.67302892,0.96041697,7.87181,,6.38028,9.301867244,5.562773,1.068419,,0.423605,2.551857,,,,5.10594524,16.0783337,,,,,,,,,,,,,,,19.35226083,189.324909,,,,0.106667,,,,,,,,,,,,,0,,17.2473482,,,,56.75632802,,,,,2.89375,,,,,,,,,9.3616509,0.09622898,3.113129659,,,,,,,,,2.706705,,6,,,,,,,,,1.173746,,,,,,,,,,,,,,,,1.53,,,,,,,0.016,,0.705586,,,,0.25,,,,,,1,,
"Caribbean, regional",1031,,,,,2.3630266,,,,,,,36.05856679,,,,,,,0.0223889,,,,,,,,,,,,,,,,,49.49675617,,,,,,,,,0.0762676,,0.128723,,,5.28401,1.637327,,,,14.6945,7.2951986,,,,63.07674046,,,0.431017431,,0.22736,,,,,,,,,,,,,,,,3.26087,,,,,,,,,,,,,1.4173,0.0982845,,,,,,,,,,1.11944,,,,0.0112557,,,0.25,,,,,,,0.5275,,0.1799,,,,,,,,,,,3.28118,
Central African Republic,231,0.01850891,5.933056,5.24755,44.59551402,54.8438645,3.346724836,4.9667,7.387532,0.5355602,17.94803227,9.60021947,31.8215281,2.041730444,,6.768214,1.798523856,,,,1.74818472,0.291999,,,0.0216332,,,,,,,,,,,,9.74397681,104.130007,,0,,6.661583,,,,5.8126192,,3.329943,,2.89514,1.4143529,,,,169.575075,,,,8.36380827,,115.4961177,,15.180892,3.03003432,0.20099656,2.39787,0.296163,,,,7.51035,59.798,,10.10246,13.8225,1.08398924,2.385499996,,,1.32558,,,,,,0.16,,,,,,,,13.2892721,30.59655,,1.270703,,,,,,,,0.696613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central America, regional",1032,,,1.22378,0,10.2487784,,,,,,,3.6182138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128723,,,,,,,,,0.2112858,,,,,,,,,,,,,,,,,,,2.04731309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,0.25,0.1491667,,0.386668,,,,,,,,,,0.708333,3.93742,
"Central Asia, regional",619,0.131236,,0.648372,,78.54005591,5.6154133,,2.818218,,0.5477003,5.81522347,6.2168049,0.227176927,,,,,,,0.081271667,0.4428372,,,,0.06436,,0.06,,0.362547,,,0.056173772,,,,0.0118606,40.702959,,,,,,0.331866,0.63937934,0.247758411,,1.578744,,,,,,,3.71483,,,,,8.16093011,58.36338195,,,,,0.31413,,,,,,,,,,2.00673184,,,,,,0.1486028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,232,,4.028881,0.0459265,102.9475909,41.05950044,2.86190459,0.00233453,,,7.075592,27.89102714,2.4743356,,,2.8662332,0.701815,,,,2.48824606,3.5933185,,,,,,,0.01459264,0.00166688,0.05728368,,,,,,10.85819001,65.55948,0.17312,1.040498,0.015,8.260995,2.88133184,,,5.763551238,,2.027723,,4.21695E-05,1.21510998,,,,69.6560238,,,,11.09245532,,90.95402525,,5.64438,1.824034032,0.27290197,0.15957,0.247104,3.016357,,76.2678,9.80012,77.378,,4.35264,25.1375539,0.63697914,3.29505423,23.22571,,7.101106,,,,,,0.13,,10.979318,,,,,,2.6725747,51.8421297,,4.9096842,,,,,,,,,,,0.0881284,,,,,,,,,,0.21875,,,,,,,,,,,,,,,,
China (People's Republic of),730,6.23733237,0.6583322,4.1057101,179.9710438,871.2692612,12.62899934,2.41041967,11.40299257,1.252327999,2.519671867,5.091856767,89.78398445,0.51682491,,0.03802091,0.1988122,,0.0186681,0.000778104,2.749389414,1.8595725,0.0146289,,0.03743877,,,,4.938434882,5.34361016,0.103009209,,0.0482481,0.053899332,,,2.151654746,35.217766,8.9059,6.375027,0.2271529,22.682152,0.161062,,,3.600015951,,702.05384,0.242343,5.5142754,12.11811468,0.320034,1859.684808,,0,,,,,1788.386235,103.0943918,,,,0.18088184,4.169859,0.603942,5.20472,,,0.57933,26.529,,,3.3534728,1.06846716,2.6297266,,,34.229968,,,,,,,,,,,,,,,,0.123172,21.7358491,,0.302457,,2.4566,,,0.838755,,,5.668197,1.663088,0.0782381,,20.388744,,,2.11,,,,0.2666667,14.6,0.2461852,,11.56307616,0.20443438,,,,0.711959,,,,,,,
Colombia,437,2.33462733,1.55739819,2.65410566,26.18779781,114.563672,3.95252596,5.26775947,76.22891956,0.724294449,31.02506493,51.07108884,66.89312967,0.76729912,,2.86967701,1.258418188,,0.00182896,0.000548528,55.41125955,1.1194654,,0,0.517905978,,,,0.5039469,0.3771846,0.0200241,,,0.011258208,,,45.83622644,445.206832,0.76342,,,0.0533333,0.62748374,,,11.4270525,,24.28996,0.0205263,0.862147499,7.8091771,0.4060019,887.588985,,,,1031.820868,,,,67.51043457,,8.455094,0.689174063,0.46377076,2.81375,0.2282535,5.3712995,,,0.17864,19.613,,6.53608,14.414858,,1.534903169,,,11.3346,,8.76233,0.728659,,,1.255,,7.991845,,,,,,,2.1463,,1.67509,0.2798602,,,0.039733,,,0.223432,0.37319,,1.2,0.211508,,0.3977405,0.118227,,,0.42,,,0.333,0.05,,0.0681667,3.472,6.59226422,,,,0.3,0.0653185,,382.4826722,,,,,
Comoros,233,,,,21.28740542,0.01900606,,,,,,,0.162857,,,,,,,,0.0286149,0.6179418,,,,,,,,0.00416721,,,,,0.661248,,0.26676247,1.618988,,0,,7.789227,21.29747397,,,3.570187163,,0.111949,0.00325389,0.06639933,5.485419,,,,5.94410487,,,,12.274819,,5.0385099,0.282895,,0.811752073,0.3594778,0.69115,,,,,2.10522,6.153,,,,,0.836352605,,,0.638124,,,,,,,,2.994184,,,,,,0.8806708,3.06586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,234,,0.02190975,2.3375344,85.00234542,0.64794067,0.31621136,0.24204697,0.526177,0.00947162,,0.07340306,7.0620392,,,,,,0.08464798,0.00046345,0.51576811,1.321125,,,0.00322706,,,,0.00614191,0.0833442,0.00914036,,,0.00366282,0.976262,,0.307147725,10.874395,,0,,0.64,1.534136,,,3.137454862,,0.099081,0.0172015,,0.73969,,21.836388,,34.37623782,,,270.11611,6.682476,,17.41855534,,4.094721,1.307406922,0.71497327,0.22376,0.0845131,,,,0.73848,7.775,,1.4764,7.8701125,0.47242718,1.98436339,,,2.55247,,,1.99668,,,0.11002,,2.987422,,,,,,0.689835,15.42393,,2.366492,,,,,,,,,,,,,0.00440736,,,,,,,,0.0214286,,0.384222,,,,,,,,,,,,,,
Cook Islands,831,,,,,0.00172414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456611129,,0.021479,,3.182006173,0.7972,24.8856785,,,,,,,,4.92413,,,,0.24746073,,0.24693,,,,,0.02499,,,,,,,,,,,,,,,0.742948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,336,0.11440808,0.0723531,0.0509355,4.22669954,30.76949983,0.3683979,0.4607385,,,0.120739382,0.31500629,1.524449,,,,0.00234546,,,,0.806895434,0.0076816,,,,,,,0.00245677,0.0125016,,,,,0.231818,,0.376178924,13.351229,0.20223,,,,0.07011638,,,35.15592634,,2.706633,0.019977,0.01461913,2.5944945,0.07327,86.611818,,,,500.0575238,,,,3.202608,,,0.379324292,0.1215443,0.95135,0.4643097,7.5,,,0.1505,1.623,,,4.5342,,0.776531605,,,,,,,,,,,,,,,,,,0.49706,,,,,,,,,,,,0.178049,,,,,,,,,,,,,0.0116667,0.424925,0.2086,,,,0.08,,,,,,,,
Côte d'Ivoire,247,0.00743031,0.7751069,0.124125,421.295458,123.2965765,3.145994875,0.0293806,0.1299435,0.649651159,1.0483296,0.842691771,1.91917205,0.103402,,0.0152553,0.11472021,,,0.000772417,7.612765527,0.6662017,,,,,,,,0.00833442,0.02578932,,,0.0268527,,,9.949560151,76.325718,0.04382,9.791503,0.0250959,5.5215278,0.00600082,,,52.85178039,,10.267042,0.0264439,0.03189716,0.0303208,,12.910844,,241.2272118,,,247.5405459,41.916922,,102.0375146,,3.314624,1.307877144,0.18257958,1.39325,0.2424874,20.04583,,45.7607,1.5582,34.212,,0.37755,8.70198,0.86267693,3.822692669,96.346516,,5.37551,,,,,,0.514273,,,,,,,,25.341871,81.44496,,4.199413,2.770622,,,,3.00038004,,,0.696613,,,0.302154,,,,,,,,,,0.0214286,,,,,,,,0.466667,,,,7.063984,,,,
Cuba,338,0.13707372,4.19041617,3.43141,13.76222952,3.04904329,11.98587884,0.27223233,1.2417248,0.128984677,3.017835128,13.40660896,2.66683958,0,,,0.1092734,,,,8.307775476,0.0920214,,,0.28248288,0.00883,,,0.00122838,0.02333633,0.0318104,,,,357.604,,3.08180862,13.628879,0.04719,0.0150039,0.1,18.372608,5.19128576,,,14.21507374,,0.114508,0.00906511,,1.6247147,,,,,,,,,,20.1475835,,,0.053709416,0.54287494,0.00494,1.175909,4.272668,,,0.61718,2.43,,,,,0.748575904,,,7.1403994,,,0.712326,,,0.16665,,1.995221,,,,,,0.1765,5.48127,,,,,,,,,,,,2.48775,,,,,,,0,,,,,,,,1.53642122,,,,,,,,,,,,
Democratic People's Republic of Korea,740,0.05102316,,,1.538269876,1.76279561,0.2379012,0.0279861,2.045783,,4.425986,9.20656987,0.387558,0.374649,,0.5597231,,,,,,,,,,,,0.01,,,0.0465261,,,,72.6665,,1.16837,3.444143,0.14613,0,,,,,,,,,,,,,,,,,,,,,4.2185129,,,2.271991002,0.8591118,,,,,,1.64929,20.916,,4.37393,,,1.382759984,,,,,,,,,,,5.9999,,,,,,11.9204377,,,0.0441703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,235,0.28789585,100.9109445,6.97404,21.45631701,201.9935399,11.15420802,17.26580343,24.44439417,0.0945919,76.51480659,29.63407022,263.0984363,2.941701647,,10.63645624,2.641167009,,0.02057478,,4.0210244,,0.0335833,,,,,,0.00163784,0.0666753,,,,,,,56.14817172,647.869014,,0,,0.44,,,,27.29245851,,42.161642,,3.745101738,0.1859788,,,,465.0715355,,,97.9415,92.2443489,,213.2313907,,,2.458430776,0.3941014,0.87797,0.530804,1.479329,,,15.87878,274.957,,15.50956,58.2306913,1.86434435,7.619610684,,,27.681661,,,,,,0.582438,,45.689908,,,,,,163.9592014,199.0105,,27.5130009,1.0489194,,,,1.11358,0.603745,,,,2,,,0.66007583,,,,,,,,0.1714286,,2.32984,,0.0304,2.719783,,,,,,,,,,,
Djibouti,274,0.00247677,,0.182039,43.20936065,0.8867077,0.92150237,,,,0.648188,,0.775373,0.00806,,,,,,,0.164954,5.3965535,,,,,,,,,,,,,,,1.17954951,24.884128,,29.617437,,13.877729,0.0317942,,,44.33371924,,0.136704,0.0150763,0.028591508,1.2383665,,,,17.68894922,,,,18.6527626,,37.63237623,11.273027,,0.75284719,0.45521923,0.51289,0.0210221,43.68107,,27.6333,0.83734,9.604,,1.64289,1.79881,0.20354773,0.855044448,36.98777,,6.21828,,,,,,,,5.251594,,,,,,1.1718868,2.40518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,378,,,,0.52472402,0.1005485,0.3018896,,,,,,1.353088336,,,,,,,,0.00911602,,,,,,,,,0.00416721,0.000367373,,,,,,1.17985611,3.749902,,0,,,,,,0.541943897,,0.021453,,0.04957695,0.0466534,0.112082,,,11.4839588,18.212,,,,,13.1070205,,,0.1245143,0.1241161,0.08267,,,,21.4918,0.05,,,,,,,,,,,,,,,0.405292,,,,,,,,,,,,,,,,,,,,,,,,0.0031585,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,340,0.0508852,0.36766827,0.128875,32.70763996,17.98371267,0.103243903,0.0756063,0.0143822,,,0.098941392,0.7793199,0.09555101,,,,,,,8.849970478,0.0403221,,,,,,,0.00594992,0.020836,,,,,,,0.46043697,51.032202,0.00989,,,0.0133333,,,,5.745339838,,8.310482,,0.0198337,0.8906776,0.0787934,55.22727,,0,,466.8267421,,,,53.28960896,,,0.825325469,0.25266392,0.70752,0.0385475,8.01331,,,0.68685,3.803,,,2.832579,0.39698459,0.975222056,,,0.181292,,,0.99537,,,0.082626,,,,,,,,,7.94907,,,,,,,,,,,,,,,,,,,0,,,,,,0.0175132,,0.0029,0.00863451,,,0.075,,,143.1966732,,,,,
"Eastern Africa, regional",1027,0.418998084,,,0.4245895,56.52498127,,,,,,,6.98849164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.87948012,,,,,,,,,4.30588871,,,,,,,,,,,,,0.25,,,,,,,,,6.74247798,,,,,,,,,,,,,,,,,,,,,1.4994959,,,,,,,,,0.227,,,,0.275,,0.3,0.45,,,,1.33333,4.1975,0.078125,,0.50198332,1.045123,,,,,,,,,,5.2499,
Ecuador,440,50.29122999,8.57869858,0.113509,282.2277367,59.41022294,11.100716,,14.46572071,0.00140043,0.109626976,2.72097361,1.394521,0,,0.1068554,0.1975083,,,,15.81413252,0.1157448,,,0.04175147,,,,0.8185216,0.245865,,,,,,,2.333682293,36.764563,0.11656,,0.015152,,0.3225085,,,18.79652172,,24.122633,0.0819332,0.03645776,6.905344,0.28527042,653.3243796,,0,,737.3791351,,,,77.4960821,,2.1,0.713784027,0.24177526,1.15402,0.444733,,,43.5915,0.35025,9.279,,0.73645,15.61106,,1.513165592,,,5.942765,,,0.693784,,,11.42,,,,,,,,,2.309962,,0.04375,1.11944,,,,,,,,,,,,,,,,0.7,,,,,,,2.35,0.0726,,,0.154,0.07,,,,,,,,
Egypt,142,4.41866698,0.24468811,3.542285613,262.0150703,423.6641132,25.4631174,6.295080415,4.3996836,0.129111236,2.055932332,14.35935775,55.86540095,0.33314575,,0.1083498,0.0587076,,0.39770985,,3.620600478,2.2278083,0.0167917,,0.03470393,,,,2.1168891,0.63216268,0.14983081,,,0.003267098,,,5.521738613,223.793587,0.22387,306.7438666,0.6322857,175.5834,253.9718385,,0.00933873,357.8850967,,63.914729,0.0470992,0.1714813,5.06669341,0.236653,1748.023039,,0,,,53.6659438,0,,1135.892848,230.8486392,,2.24683748,0.74638557,1.99311,0.608359,105.6244955,,,0.37656,35.691,,10.3338,1.318839,0.11250862,1.724204232,302.66539,,13.266963,732.2563186,,0.100002,,,,,,,0.75,,,,,0.706545,,0.998428,0.111944,,,,,,,,0.051949,,0.52877,,,,,,,0.4,,,,,,,0.152,0.00746682,,,,,,,,,,0.10075,
El Salvador,342,0.80248506,2.03675609,0.0461606,34.80758987,13.63825203,2.35289302,0.09186887,7.77528,0.0239382,1.2620927,2.755964409,1.125108,,0.0855071,0.1281997,0.83098513,,,,42.01630076,0.0076816,,,0.0459715,,,,0.00245677,,,,,,,,2.838181064,228.590758,0.01871,,,,0.00500068,,,12.99622418,,3.586476,0.0255883,0.0424817,0.0318338,0.07555669,0.2737139,,0,,240.7882699,,,,32.0365092,,2.23255,0.2368137,0.62211114,0.55774,0.0958045,10.838,,,0.41001,4.157,,3.05198,,0.14498259,1.324177252,,,0,,,0,,,5.64118,,1.998859,,,,,,,6.61387,,0.354041,,,,,,,,,,,,,,,,,,,,,,,0.0116667,,0.7438,0.918922,,,0.08,,,,,,1.2,,
Equatorial Guinea,245,,,0.0280211,2.002140976,0.0148148,0.00453375,,,0.09112844,,,,,,,0.00382215,,,,1.950224696,,,,,,,,0.000409461,,,,,,,,0.31123924,0.484998,,,0.21748,0.0133333,,,,0.10573102,,0.134087,,0.0119084,0.6662238,,,,0,,,0,0,,0.4476546,,,1.415490455,0.27078995,0.26933,,,,69.5529,0.45997,3.03,,,,0.28947018,1.713903,,,,,,,,,0.189034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,,,,,,
Eritrea,271,0.0127561,,0.00321403,0.42170297,4.32441237,1.903670691,,0.5925941,0.0547397,0.259327482,1.6072871,5.6073389,0.0293776,,1.38803135,,,,,0.29734198,0.2460031,,,,,,,0.08701953,0.020836,,,,,,,0.023604,0.055774,,0,,0.486667,270.44511,,,7.181508072,,,0.0240188,0.000410761,0.000373,,,,,,,,9.464049,,4.2559518,,,1.05289152,0.7241195,0.17345,0.10285,,,,5.73845,17.78,,,1.439257,0.08782794,1.441297,,,3.06556,,,,,,,,2.000112,,,,,,3.67206,16.91528,,,,,,,,,,,,,,,,,,,,,,,0.0214286,,,,,,,,,,,,,,,,
Eswatini,280,,,0.191883,0.55115086,0.54233429,0.02677041,,0.5565936,0.0785178,0.079545,0.301872,3.06363635,,,0.01439158,,,,0.00374454,,0.0768155,,,,,,,,,,,,,,,0.20462821,44.242881,,0,0.0958635,,,,,6.60509473,,0.150362,0.0515528,0.5180163,1.546806,0.0577043,0,,0,,,35.3580724,0,,12.32588696,,,0.858233944,0.56883802,0.23391,0.1769367,3.461917,,,0.71766,3.627,,0.40249,,0.72683765,0.991902951,,,1.1802369,,,,,,0.215986,,,,,,,,,12.09074,,0.9323757,,,,,,,,,,,,,0.126256678,,,,,,,,,,0.01945,,0.01,0.143282,0.176838,,,,,,,,,,
Ethiopia,238,11.6810755,5.3572682,106.6264997,69.56316434,141.6404225,35.95004563,97.5605914,79.34772835,0.04552787,80.37135295,15.87819554,389.904782,22.92130111,0.357705,44.47851948,1.637856093,,0.0788282,0.0859327,7.261096188,3.0636091,,,5.30580571,0.19176,,,3.09166999,0.58476324,,0.00223889,,,,,79.47900768,870.269232,0.9612,0,0.9763305,10.335174,52.28799621,,,64.4490841,,74.473612,0.0815693,1.151031401,6.8595214,4.4523476,,,1802.244742,,,8.36228,180.253459,,203.0515954,,,4.54217388,0.85400379,4.33081,0.417469,11.4785251,,23.4883,10.82475,153.149,,7.50325,25.641243,1.1799827,5.043576985,,,40.34029,,,,,,4.093573,,21.109759,,,,,,92.278004,115.825494,0.20231666,106.7900627,0.347028,,,,23.6614404,,11.588074,,,0.450276,0.6168984,,1.005340586,22.4905527,,2.63009,0.05,,0.05,,1.46364,0,,,0.13139,,,,,2.83333,,,,,5,,
