,,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,561,566,576,611,613,701,732,742,764,801,811,820,901,903,905,906,909,913,914,915,918,921,923,928,932,940,944,951,953,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1037,1038,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,(blank)
RecipientName,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Finance Corporation,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,OPEC Fund for International Development,Arab Bank for Economic Development in Africa,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,International Investment Bank,UN Institute for Disarmament Research,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,IKEA Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,Laudes Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",Rockefeller Foundation,William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust,World Diabetes Foundation,McKnight Foundation,Citi Foundation,LEGO Foundation,Norwegian Postcode Lottery,BBVA Microfinance Foundation,Jacobs Foundation,Arcadia Fund,Margaret A. Cargill Foundation,La Caixa Banking Foundation,
Armenia,610,3.68073629,0.16815286,0.172055,13.34734084,96.97699113,0.23857675,0.49950412,,0.00940334,2.30617743,4.731071756,3.4401386,0.050584839,,0.0447778,0.00335833,,0.0386267,,1.280324084,0.0076816,0.000450879,,0.6304445,0.01772,,0.21,0.04333654,0.182202502,0.0582804,0.02910554,,0.046315419,15.4862,,0.218200907,30.82767,0.06956,,,,,,,16.56351114,,0.248202,0.0407946,,0.316905,,89.0713015,,5.1920851,,,,,139.6737325,38.76506022,,,0.37832732,0.40113736,0.57315,0.1820795,13.57201542,,368.213,0.33775,2.15,,0.00887,2.1447358,,0.806646017,,,2.39707,89.4369983,,0.9911036,,,2.038,,,,,,,,0.0659753,4.076225,,0.235341,,,,,,,,,,,,,,,,,,,,,,,0.0816667,,,,0.391806,,,,,,,,,,
"Asia, regional",798,56.1676871,0.00893205,17.50295408,86.20370493,334.8560278,6.75372493,4.167184,46.39750209,0.0167917,72.47523416,48.51860434,253.8767438,51.05167789,,0.0200313,0.20854361,,,,,22.2608256,,,0.0261653,,,,,0.455749,,,,,1.05346,,287.9311918,83.996646,,,,,2334.79,,1.037679,158.9439896,,68.563564,,338.5620039,0.05806858,2.1723931,,,,,,,,329.4722432,101.9449268,,,,40.00732398,6.880413,,,,,3.49795,,,,0.0361359,4.10202766,12.72895684,,,,,0.52416815,,,,,,,,,,,,,1.21418,,23.7332705,1.9217147,0.433592,,1.765,,,,,,,,0.527511,,0.00374873,,,,,,0.2,0.633767,0.543621,,,1.08185,2.42934,,,0.25,,,,,0.5,0.97,,
Azerbaijan,611,2.86913561,,0.00529719,58.4010661,45.33590735,0.7694583,0.1396283,0.0397089,0.003883351,1.138135327,3.568107143,3.7683146,0.086003623,,,0.0774728,,0.02048583,,0.369718368,6.0057714,0.134333,,0.08075068,0.00188,,,4.28984041,0.08122207,0.050384924,0.02686664,0.09167131,0.150459431,0.763972,,0.05006654,12.837993,0.36269,0,0.0535342,23.864633,,,0.00181502,31.52895812,,20.633623,0.0295334,0.0190389,0.23388932,,74.63094,,0,,,,,436.0485618,19.16290523,,,0.204835047,0.313018,0.73436,1.2026678,1.77399,,,0.25507,2.206,,,2.66496504,,0.865962447,40.0216,,2.39436,129.828615,,,,,0.421403,,,,,,,,0.2035,5.33039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,666,15.9405235,1.0271738,34.47708832,91.17399487,156.7374268,2.567922389,43.82726006,14.26773063,0.000432106,52.15756728,40.08172278,389.4334932,0.980142934,0.0864421,2.5441427,4.71712103,,0.000232251,0.000849659,1.65744176,15.2183326,,,0.02269198,,,,0.54491246,,0.00163843,0.0559722,,0.06322508,0.231818,,81.56400415,409.083612,,18.91254,1.2036186,28.834803,4.714896773,,,1255.594547,,113.594135,0.218281,59.32995844,0.6900159,0.0489158,,,1794.446101,,,,,1304.983137,160.7091042,,,7.17578424,1.42882037,3.54317,0.2574279,26.30893839,,,6.6380618,159.567,,7.92165,5.12309,0.16867046,5.387483795,71.18577,,29.90333,,6.45579063,0,,,4.73568,,15.34376,,48.64686,,,,92.2100555,47.869558,,37.40558966,0.0167917,,,0.093039,,,8.6647915,,,,0.1,4.96381193,0.13992952,2.2331885,,,,,,,,,,,0.046225,0.600184,,,0.215,5.709979,,,,,1.2,,
Belarus,86,1.299069827,0.00519422,0.0876577,1.79125524,13.5341,0.30411665,0.84102831,0.0568272,0.00082615,8.944427091,0.44231018,2.5836471,0.1511175,,0.0122268,,,0.0012193,,0.186239401,0.0847659,0.027506812,,0.661936473,0.06142,,,0.0759242,39.14184115,0.00953012,0.311781055,0.050699601,2.181537703,5.88972,,0.09332281,7.894929,2.34014,0,,0.04,7.2400535,,0.00555062,0.38579597,,0.164306,0.0144377,,2.1970491,,117.9344066,,,,,,,,109.5429575,,,0.24996715,0.20296419,0.03984,0.2668878,,,,0.21548,2.712,,,1.2407093,0.11012058,0.531678213,,,,224.975494,,,,,,,,,,,,,,5.791496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,352,0.00780253,,,0.02350834,0.08244582,1.3444154,,,,,,2.19014063,,,,,,,0.00481361,0,,,,0.0211689,,,,,,0.000367373,,,,,,0.724393881,2.860105,0.00682,3.1644,,,0.01450201,,,1.179608083,1.62562,0.055074,0.00788481,0.12138864,0.06648991,0.0296443,1.4010265,,,26.379,13.4642926,,,,4.30646,,,0.124502449,0.1418231,0.26293,0.274798,2.9725573,,,0.06831,2.759,,,0.71028922,,,,,1.4,,,0.535033,,,0.3518,,,,,,,,,0.490177,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,0.0029,,,,,,,,,,,,
Benin,236,0,22.8143922,0.158961,40.4144664,45.13532253,3.75107074,31.5993797,0.3054619,0.00125714,0.261213,25.29100925,0.233368,0.02730215,,,1.250434228,,,,0.21799217,0.660614,,,,,,,0.000818922,0.01208491,0.00549868,,,,,0.00767963,17.07189541,100.924241,0.00252,0.0768067,,2.612598,0.66068101,,,10.38668836,,0.090541,0.106201,,6.038475,,,,226.8752446,,,0,25.0694937,,49.99219665,,,0.94477767,0.5346428,0.28102,0.3895,2.4586818,,,4.46217,17.136,,0.02856,0.2796875,0.53593823,2.31292673,21.288057,,4.97452,,,,,,0.542891,,,,,,,,11.118087,24.953555,,4.7166802,,,,,0.889027,2.530861,,,,,,,,,,,,,,,0.0214286,0.4375,,,,,,,,,,,,,,,
Bhutan,630,3.05147516,,0.219218,0.03806117,1.07045093,0.04663375,,0.0705419,,0.0182965,0.78942785,0.50038115,0.1927113,,,,,,,,0.0235919,,,,,,,0.0144887,0.00166688,,,,0.00436411,,,0.003456597,0.804609,,0,,,0.04154009,,,30.21898036,,2.526451,1.91002,3.401980685,1.1377526,0.222934,,,33.143587,,,,,92.41483937,16.34118549,,,2.98497125,0.34010078,,,,,,0.88802,3.746,,0.06441,,0.0055,0.74991333,,,2.118546,,,,,,6.250932,,,,,,,,0.0189438,1.166573,,1.568929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687599,,,,,,,
"Bilateral, unspecified",9998,172.2803198,557.1885781,950.9916275,2666.018873,6782.382921,656.011797,2408.16209,1664.914842,21.59008813,1435.460439,917.0757271,5677.319837,272.2689287,26.80578111,223.1115839,103.2597213,4.63480087,135.9773823,30.85728494,313.0553428,244.3507522,7.366135615,3.38176385,12.757074,7.73193,19.23,4.32,16.57606368,14.45961972,2.476454607,5.70063653,2.14076898,3.88570789,26.647883,4.8649722,684.299023,10064.50464,105.208,1.75,68.519493,104.833316,182.6506165,2.928372,22.85855928,1934.832509,256.62,195.052472,0.354836,622.4250307,50.35262738,39.0835639,,,,,,,,,1936.186351,,7.432352,161.6220935,264.3216158,86.398642,6.741478,2.2911348,,,30.01247,232.369,,33.45873,413.1359139,68.29678729,116.7828624,6.1531,33.2502,,,,,,,87.3106522,,,6.7270814,,0.6045,,184.049,326.25691,13.914868,1.9238042,1814.814768,164.7009691,42.7019055,55.0018768,0.25,3.4812737,,70.3996855,4.21464831,16.2432095,87.77945,2.670289,19.41962275,0.202826,73.38729426,,3.000545,27.938917,0.575,,30.75318,61.800177,59.418738,2.1687,18.833993,64.44998118,180.7978052,,2.144,3.15,7.146489,2.03164,,8.76294831,36.25098,14.26709,4.303057,
Bolivia,428,0.3509955,8.0366183,2.5035328,164.5978225,38.30351358,5.90664958,,2.439454,,26.9335728,21.30908726,2.0265827,0.371730803,,0.0397683,0.639420656,,,0.000386208,17.2475123,0.0153631,,,0.0218698,,,,0.00163784,0.00416721,,,,,,,12.58193375,1.533804,0.01355,,,,0.01800249,,,22.29423732,,23.454036,,0.013664325,2.8104596,0.0873828,59.723024,,44.8578829,,505.9513637,,,,66.55893669,,,0.916403345,0.70977281,1.84532,0.1228304,5.083361,,,0.40386,9.775,,1.49987,,,1.609128698,,,4.66493,,16.8307,,,,,,,,,,,,1.600348,6.032674,,0.04375,0.111944,,,,,,,,,,,,,,,,,,,,,,,1.05,0.076,,,0.1,,,,,,,,,
